trajectory_id,case_id,nfp,n_base_coils,initial_total,initial_volume_qs,initial_coil,best_total,best_volume_qs,best_coil,delta_volume_qs,delta_coil
axisflip_case_0000004,4,8,1,7.081282127184123,5.032427071193142,72.11734127961603,64.54180576363876,26.438331466275127,73.57073321225755,21.405904395081983,1.453391932641523
axisflip_case_0000010,10,7,2,25.212721884948692,21.95101931818441,70.24748813113682,77.76678909647954,54.79932247945203,71.09733291879512,32.84830316126762,0.8498447876582986
axisflip_case_0000011,11,8,2,31.28242113309612,17.529112104228876,69.98185924018789,74.734511624834,52.79258894783858,69.17913407616128,35.26347684360971,-0.8027251640266115
axisflip_case_0000014,14,4,3,2.3913122249732512,7.17931012447241,74.51449465349758,12.09261738961974,17.688847480517733,73.58245837846181,10.509537356045323,-0.9320362750357702
axisflip_case_0000016,16,6,3,7.132665535288184,8.539566158342874,66.24729898756631,79.32446459479563,62.67767042064508,73.20683090998064,54.13810426230221,6.959531922414328
axisflip_case_0000017,17,7,3,61.847069479558094,26.079022395259948,63.10847490792828,78.65174060906409,57.82452780122879,68.7261730084063,31.745505405968842,5.617698100478023
axisflip_case_0000018,18,8,3,52.08279295450676,34.53820660121124,62.07695786788317,81.82583733832878,66.97866845952791,66.2580235271784,32.44046185831667,4.181065659295221
axisflip_case_0000021,21,4,4,3.778445982971144,12.340356610928941,70.52583315154793,78.78056021528228,61.8255325228178,72.7839978204443,49.48517591188886,2.25816466889637
axisflip_case_0000022,22,5,4,34.84456104674652,23.65152938088473,70.67162449915202,78.80194760593324,64.78752906184138,70.54476399956036,41.13599968095666,-0.12686049959165757
axisflip_case_0000023,23,6,4,64.58514543669116,42.48180169359248,67.41766550360641,80.32747301555956,64.24643718350576,71.29180633972864,21.76463548991328,3.8741408361222227
axisflip_case_0000024,24,7,4,69.1031052282417,43.79738709174438,67.71415053435351,80.58557918969339,65.4613069422422,61.227693554246,21.66391985049782,-6.486456980107505
axisflip_case_0000025,25,8,4,68.70515095487461,41.00031932324206,66.62726179065295,78.94635809057165,61.07475889933222,62.997488401384636,20.074439576090157,-3.6297733892683155
axisflip_case_0000027,27,5,1,1.0667077404783842,1.666765440021128,78.7497323498506,1.709200413703779,1.219253749733814,78.68999439059284,-0.44751169028731397,-0.0597379592577596
axisflip_case_0000028,28,6,1,4.374483161189709,4.32031020268351,75.01958781455271,12.32055117407637,10.845860368007127,71.95880419623397,6.525550165323617,-3.0607836183187374
axisflip_case_0000030,30,8,1,6.746954942854221,3.9319389112412284,78.82996658389978,21.518741994820786,14.111126677736841,76.5678798861655,10.179187766495613,-2.2620866977342757
axisflip_case_0000033,33,4,2,2.4100757953364114,3.5074116335579575,78.34340479990726,4.172314952562888,2.874106123848217,78.43891583719638,-0.6333055097097406,0.09551103728911414
axisflip_case_0000034,34,5,2,5.810274203316808,4.551892391147785,76.31950244358958,14.071513283767576,14.339344029983447,73.42230658206648,9.787451638835662,-2.8971958615231017
axisflip_case_0000035,35,6,2,37.74062780634582,19.44777708634127,76.70861046329088,70.99381549823319,42.89723146627149,65.26354119184758,23.449454379930224,-11.445069271443302
