name,rk4_steps,estimator,directions,initial_score,final_score,best_score,best_iteration,total_wall_s,mean_iteration_wall_s,p95_iteration_wall_s,flow_wall_s,score_wall_s,endpoint_score_calls,center_score_calls,total_score_calls,pipeline_cache_hits,pipeline_wasted_endpoints,accepted_center_updates,gradient_steps_applied,non_ok_endpoints,negative_score_steps,best_gain
rk4_256_central4,256,central,4,85.39987648767381,91.95048164596164,91.95716909666125,199,3025.6187738012522,14.917902979105712,15.753578024357557,498.11932140029967,2483.99057068862,1600,201,1802,199,8,200,199,1,62,6.557292608987439
rk4_256_one_sided4,256,one-sided,4,85.39987648767378,90.78266512372906,90.7862157884565,191,1865.7331737540662,9.146793949473649,9.713152397517113,450.94280948117375,1376.4381724335253,800,200,1001,199,0,200,200,0,62,5.386339300782723
rk4_256_central2,256,central,2,85.3998764876738,91.64190958152884,91.65476213194245,198,1842.2783883319935,9.077780302243191,9.499181399081134,443.86269890586846,1370.9454400051618,800,200,1001,199,0,200,197,3,61,6.254885644268654
rk4_128_central4,128,central,4,85.5016048323999,91.86183133683676,91.87274406672805,198,2739.668436881155,13.55217419414781,14.138504395447672,244.21340313367546,2465.2542180754244,1600,201,1802,199,8,200,198,2,67,6.37113923432814
rk4_128_one_sided4,128,one-sided,4,85.50160483239992,91.01490418922054,91.01490418922054,200,1658.6841016337276,8.082727189511061,8.842176394723356,246.49974432773888,1368.043877094984,800,200,1001,199,0,200,196,4,63,5.5132993568206246
rk4_128_central2,128,central,2,85.50160483239992,91.74633642002895,91.74633642002895,200,1657.7654952835292,8.067435529585929,8.606891502998769,234.13001764193177,1377.1827675402164,800,200,1001,199,0,200,198,2,63,6.244731587629033
rk4_064_central4,64,central,4,85.35305848164596,91.54853754959623,91.59867127644117,199,2657.466162983328,13.079526093648747,13.683759971428662,126.88184436410666,2487.784039001912,1600,196,1797,199,0,196,189,7,65,6.245612794795207
rk4_064_one_sided4,64,one-sided,4,85.35305848164597,90.53603394036078,90.5370451800249,198,1529.2655962089775,7.511651203063084,7.854123342648381,116.30051022185944,1385.2950657062465,800,201,1002,199,4,200,197,3,66,5.183986698378931
rk4_064_central2,64,central,2,85.35305848164597,91.37341703862295,91.46818837442343,199,1520.267245221883,7.4436953194625675,8.055636371672152,121.7171680368483,1365.3717831950635,800,202,1003,199,8,200,197,3,56,6.11512989277746
