trajectory_id,case_id,worker_index,best_iteration,prior_minor_radius_m,winding_section_mean_radius_m,initial_score,initial_volume_qs,initial_coil,initial_length_mean_m,initial_effective_radius_m,initial_curvature_p95_per_m,initial_curvature_max_per_m,initial_min_intercoil_distance_m,initial_min_z_axis_distance_m,initial_high_mode_fraction,initial_curvature_points,initial_distance_points,initial_other_points,initial_curvature_p95_points,initial_curvature_max_points,initial_spacing_points,initial_axis_distance_points,best_score,best_volume_qs,best_coil,best_length_mean_m,best_effective_radius_m,best_curvature_p95_per_m,best_curvature_max_per_m,best_min_intercoil_distance_m,best_min_z_axis_distance_m,best_high_mode_fraction,best_curvature_points,best_distance_points,best_other_points,best_curvature_p95_points,best_curvature_max_points,best_spacing_points,best_axis_distance_points,delta_score,delta_volume_qs,delta_coil,delta_length_mean_m,delta_effective_radius_m,delta_curvature_p95_per_m,delta_curvature_max_per_m,delta_min_intercoil_distance_m,delta_min_z_axis_distance_m,delta_high_mode_fraction,delta_curvature_points,delta_distance_points,delta_other_points,delta_curvature_p95_points,delta_curvature_max_points,delta_spacing_points,delta_axis_distance_points
axisflip_r012_case_0000004,4,4,119,0.12908100417786023,0.13090105509352054,5.683867953962258,7.741803042429939,71.63578927459793,0.8990248855025941,0.14308425449036308,16.650619903432823,25.9461239819318,0.04675143795054556,0.7896652416789268,7.3443847803884355e-06,19.648131015846097,17.19193426397817,34.79572399477366,12.581996028324268,7.06613498752183,7.128568577902387,10.06336568607578,79.39490321966287,65.32853375943284,72.91751529413806,1.3428802670443407,0.21372603248067126,11.574940451417232,18.10489677013169,0.03819499888240329,0.6640758867968205,3.2323506896414195e-05,22.881822284501403,15.845581483606852,34.190111526029796,14.625273403879826,8.256548880621578,6.143949365486582,9.70163211812027,73.7110352657006,57.58673071700291,1.2817260195401303,0.44385538154174664,0.07064177799030819,-5.07567945201559,-7.841227211800113,-0.008556439068142269,-0.12558935488210632,2.497912211602576e-05,3.2336912686553063,-1.3463527803713173,-0.605612468743864,2.043277375555558,1.1904138930997483,-0.9846192124158044,-0.36173356795551115
axisflip_r012_case_0000006,6,0,196,0.12589690057320452,0.1283242991980915,12.709353618127718,11.354467448490668,70.39268131868698,0.9031563183123129,0.1437417924440819,14.811429519764957,20.030221487820228,0.024442862098906653,0.8119901711764838,8.045962321212147e-07,21.214397890388362,14.386073954182384,34.79220947411625,13.277093496633958,7.937304393754403,4.268988046265067,10.117085907917318,78.3380485252858,62.42374862218265,70.0817964580423,1.355507289986564,0.21573568559846085,12.776713236078155,20.668623729486303,0.024167306186932098,0.6774469765738896,2.9634826869867662e-05,21.941365463276732,13.973017058877106,34.16741393588846,14.10584083233134,7.835524630945393,4.2272620524399915,9.745755006437115,65.62869490715808,51.069281173691984,-0.310884860644677,0.452350971674251,0.07199389315437896,-2.0347162836868016,0.6384022416660748,-0.00027555591197455515,-0.13454319460259412,2.8830230637746447e-05,0.7269675728883698,-0.413056895305278,-0.6247955382277866,0.8287473356973827,-0.10177976280901024,-0.041725993825075136,-0.37133090148020287
axisflip_r012_case_0000008,8,2,162,0.12656551904209762,0.1282436390892179,22.96621317600001,14.82979380559697,74.51228204363956,0.9180024796759239,0.14610463241104046,12.85978114180379,15.48792852432534,0.04460144738651471,0.7858760401073231,8.731503940640192e-07,22.792113858380553,16.946763790883406,34.7734043943756,14.070758413796927,8.721355444583626,6.892790753543756,10.053973037339649,79.10486194239155,61.67423213142078,72.26534585043174,1.4094391539904276,0.22431920834483562,12.526008508919578,18.721908923019253,0.037099135027381755,0.7021621681316034,2.8322268944963106e-05,22.364562619645625,15.831917517294045,34.06886571349207,14.21236765204506,8.152194967600565,6.008494077622607,9.823423439671439,56.13864876639154,46.84443832582381,-2.246936193207816,0.4914366743145038,0.07821457593379516,-0.33377263288421233,3.2339803986939124,-0.007502312359132957,-0.08371387197571978,2.7449118550899086e-05,-0.42755123873492806,-1.114846273589361,-0.7045386808835303,0.1416092382481331,-0.5691604769830612,-0.8842966759211492,-0.23054959766820993
axisflip_r012_case_0000013,13,1,185,0.11999278008569596,0.12143892562219057,7.812440587781989,11.186044472831457,64.29801111963646,0.9586147735099305,0.15256827972502313,18.068344169487258,31.064601643861106,0.005373122892251929,0.8023331734278952,7.3831872917549245e-06,18.508523313672292,11.069546203532198,34.719941602431966,12.079850172829605,6.428673140842687,0.9753642125243901,10.094181991007808,78.78118856244879,62.376284521847246,71.10734826904128,1.4654561357931037,0.23323458789582027,11.998921429699168,22.38566949872473,0.03172838407744017,0.6839060270862903,2.0273441498816307e-05,22.010939443502245,15.077615208983092,34.01879361655595,14.439489174467612,7.5714502690346315,5.311087061281841,9.766528147701251,70.9687479746668,51.19024004901579,6.809337149404826,0.5068413622831732,0.08066630817079715,-6.06942273978809,-8.678932145136375,0.02635526118518824,-0.1184271463416049,1.2890254207061383e-05,3.502416129829953,4.008069005450894,-0.7011479858760126,2.3596390016380067,1.1427771281919448,4.335722848757451,-0.3276538433065568
axisflip_r012_case_0000015,15,3,161,0.12666002196716628,0.12807477086326072,29.386665200811215,16.34241756101634,69.83026889023422,0.9816670825026121,0.15623716865089016,12.534000183231568,19.492860789832243,0.01553915865693202,0.7940521143919829,1.7825380841751878e-06,22.233485921986528,12.905006222697775,34.69177674554992,14.208956955203721,8.024528966782805,2.8308679200064324,10.074138302691342,78.56986330523304,61.0933212275665,74.63010165726028,1.4133292056138325,0.22493832928958316,9.652658605913762,12.048020040474388,0.03588064750329356,0.6969054686558017,1.378020334785994e-05,24.8901597491271,15.662532728791353,34.07740917934183,15.501299136358819,9.388860612768282,5.8552227908519505,9.807309937939403,49.18319810442183,44.75090366655016,4.799832767026061,0.4316621231112203,0.068701160638693,-2.881341577317805,-7.444840749357855,0.02034148884636154,-0.09714664573618115,1.1997665263684753e-05,2.6566738271405725,2.757526506093578,-0.6143675662080952,1.2923421811550977,1.3643316459854766,3.024354870845518,-0.26682836475193916
axisflip_r012_case_0000017,17,5,193,0.13072959920769478,0.1335195424913492,12.900779878011182,14.348346888441274,68.03782180284016,0.965549703740406,0.15367200815120075,16.403957245758626,32.75396401946883,0.026128045423084636,0.7258822316652416,2.6524463095455285e-07,18.91095168874326,14.413971680069935,34.71289843402697,12.672311001019798,6.238640687723461,4.520412058522745,9.89355962154719,78.65565873069566,61.154520017296946,68.49179879682981,1.359943691642988,0.2164417608516218,13.06413317086025,30.345877730633944,0.023012212238527088,0.6931863151828734,1.7341713722787104e-05,20.497330204442285,13.846232409362877,34.14823618302464,13.984906967131948,6.512423237310337,4.050452834669715,9.795779574693162,65.75487885268448,46.806173128855676,0.45397699398965585,0.39439398790258184,0.06276975270042107,-3.3398240748983756,-2.4080862888348875,-0.003115833184557548,-0.03269591648236814,1.707646909183255e-05,1.5863785156990247,-0.5677392707070581,-0.5646622510023249,1.3125959661121502,0.2737825495868762,-0.46995922385303057,-0.09778004685402841
axisflip_r012_case_0000019,19,1,195,0.12239966949890713,0.12497090110874824,17.240909722393724,12.673933694624772,68.25629409645985,0.9537571642009789,0.1517951671918943,16.112306521022823,32.07051632020894,0.02480734879950454,0.8091084545834323,2.475525450928863e-06,19.094638991302773,14.43421728806753,34.72743781708955,12.780247784484981,6.314391206817791,4.323913941393534,10.110303346673996,78.85572373184011,61.93423693034264,66.90072326749525,1.4523583371128865,0.2311500084922412,11.970752051205245,23.551057304476792,0.006431630538198954,0.70797624886848,2.8596975225773897e-05,21.85171661170658,11.017149232911311,34.031857422877366,14.451747479389898,7.3999691323166825,1.1761498785278681,9.840999354383444,61.61481400944639,49.26030323571787,-1.355570828964602,0.49860117291190764,0.07935484130034692,-4.141554469817578,-8.519459015732146,-0.018375718261305584,-0.1011322057149523,2.6121449774845033e-05,2.7570776204038054,-3.417068055156218,-0.6955803942121861,1.6714996949049166,1.0855779254988915,-3.147764062865666,-0.2693039922905527
axisflip_r012_case_0000020,20,2,199,0.12260946527126763,0.12449776333357833,3.855992390751853,5.738146589183673,74.1880529007678,0.7362196729643712,0.1171730001537783,16.853595402158046,19.937719445992816,0.06194184736036498,0.8164723423965483,3.331532413492134e-07,20.46055811670697,18.729693049017058,34.99780173504378,12.508340646519642,7.952217470187328,8.602144460276348,10.12754858874071,77.35434932289435,60.808443098833784,71.51664154752044,1.3192887575550059,0.20997132713044428,12.980405054306964,21.72654884815891,0.03641603319209874,0.666997855947028,2.0972382599306686e-05,21.69118518403762,15.634322303967483,34.191134059515335,14.020004472071363,7.671180711966259,5.92291641124386,9.711405892723622,73.4983569321425,55.07029650965011,-2.6714113532473647,0.5830690845906347,0.09279832697666598,-3.8731903478510823,1.788829402166094,-0.025525814168266242,-0.14947448644952033,2.0639229357957472e-05,1.2306270673306514,-3.095370745049575,-0.8066676755284448,1.5116638255517216,-0.2810367582210693,-2.6792280490324876,-0.4161426960170882
axisflip_r012_case_0000028,28,4,4,0.11517215576100771,0.11646197231102533,5.188702020421092,6.333845678486837,69.2545790370117,0.7546407136881358,0.12010479984186254,20.628835910996223,31.010926637487625,0.041030884089654,0.8119955774003682,7.994884065730594e-07,17.67761731561159,16.60138265370564,34.97557906769447,11.242750770659606,6.434866544951986,6.4842840626548774,10.117098591050762,10.061497150387337,9.869843219197907,68.6465599019094,0.777796080570687,0.12379009094032695,20.835042825255563,38.224922253286316,0.043298671833249876,0.804138651076184,2.3885422413903288e-06,16.86203993983543,16.844745892111973,34.939774069962,11.179047233655204,5.682992706180226,6.746243719628926,10.098502172483048,4.872795129966246,3.5359975407110706,-0.6080191351022961,0.023155366882551265,0.0036852910984644105,0.20620691425934012,7.213995615798691,0.0022677877435958727,-0.007856926324184221,1.5890538348172693e-06,-0.8155773757761615,0.24336323840633156,-0.0358049977324697,-0.06370353700440212,-0.7518738387717603,0.26195965697404855,-0.018596418567714323
axisflip_r012_case_0000036,36,0,177,0.12844837918897434,0.1303324520991647,37.99343605092805,17.43934472617711,69.53902110558747,0.9126769594007732,0.14525704953471413,14.93390621166482,25.465282746005578,0.024398669019876248,0.8201059695144983,2.654743785803062e-07,20.360449063186657,14.39826169560066,34.78031034680016,13.229230619654327,7.131218443532331,4.262307813510456,10.135953882090204,80.27242566591161,62.68315638210332,71.9673183449101,1.2993156884166677,0.20679251444836155,14.241844857892296,22.639606327116383,0.04573342020359517,0.6598072391272806,1.9829338818037543e-05,21.03624337155466,16.705074876013256,34.22600009734219,13.502681686060567,7.533561685494095,7.017856351376287,9.687218524636968,42.278989614983566,45.24381165592621,2.4282972393226316,0.38663872901589447,0.06153546491364742,-0.6920613537725231,-2.825676418889195,0.021334751183718925,-0.16029873038721776,1.9563864439457236e-05,0.6757943083680047,2.306813180412597,-0.5543102494579699,0.2734510664062402,0.40234324196176363,2.755548537865831,-0.448735357453236
