case,iteration,current_score,running_best
0,0,74.78723033613558,74.78723033613558
0,1,74.91556117213527,74.91556117213527
0,2,74.93748177073152,74.93748177073152
0,3,75.03706896553938,75.03706896553938
0,4,75.12635247722378,75.12635247722378
0,5,75.19439830012425,75.19439830012425
0,6,75.34018410850591,75.34018410850591
0,7,75.46742300768005,75.46742300768005
0,8,75.65924006909763,75.65924006909763
0,9,75.83481173655761,75.83481173655761
0,10,75.9836130408271,75.9836130408271
0,11,76.03798697974445,76.03798697974445
0,12,76.03140991488254,76.03798697974445
0,13,76.24727673006646,76.24727673006646
0,14,76.40627025088392,76.40627025088392
0,15,76.45804636882141,76.45804636882141
0,16,76.60135573487152,76.60135573487152
0,17,76.69708293252097,76.69708293252097
0,18,76.72310579977982,76.72310579977982
0,19,76.9867791691772,76.9867791691772
0,20,77.11229083457117,77.11229083457117
0,21,77.1331146043153,77.1331146043153
0,22,77.20479216662252,77.20479216662252
0,23,77.33367634903554,77.33367634903554
0,24,77.39958607856101,77.39958607856101
0,25,77.45038514365038,77.45038514365038
0,26,77.44504293797604,77.45038514365038
0,27,77.59003934228808,77.59003934228808
0,28,77.53991058139839,77.59003934228808
0,29,77.60789360863488,77.60789360863488
0,30,77.6479645597791,77.6479645597791
0,31,77.71620985081742,77.71620985081742
0,32,77.73595696540357,77.73595696540357
0,33,77.97562348691342,77.97562348691342
0,34,78.0520402401743,78.0520402401743
0,35,78.06444949654875,78.06444949654875
0,36,78.18058355410834,78.18058355410834
0,37,78.18466729220987,78.18466729220987
0,38,78.15462607316789,78.18466729220987
0,39,78.19926875452188,78.19926875452188
0,40,78.23409524262087,78.23409524262087
0,41,78.23443107512377,78.23443107512377
0,42,78.16484364259661,78.23443107512377
0,43,78.11876412230905,78.23443107512377
0,44,78.00471527343946,78.23443107512377
0,45,77.88832212654553,78.23443107512377
0,46,77.76762903924069,78.23443107512377
0,47,77.85701079557663,78.23443107512377
0,48,77.88011080219076,78.23443107512377
0,49,77.84583857240116,78.23443107512377
0,50,77.8090040884969,78.23443107512377
0,51,77.72762345485351,78.23443107512377
0,52,77.69963793658343,78.23443107512377
0,53,77.83910978224088,78.23443107512377
0,54,77.85919991910392,78.23443107512377
