rk4_steps,learning_rate,step,score,score_delta,g_dot_update,gradient_update_cosine,consecutive_gradient_cosine,step_rms,arc_length,surface_level
64,0.003,1,85.94199445635373,0.08141523965181818,0.33559542251540164,0.632647673280628,0.9997156194726362,0.003000010987772159,0.003000010987772159,0.25
64,0.003,2,86.04590137523292,0.1039069188791899,0.3328595117405734,0.6358734248320247,0.9997049275356075,0.002976159463735701,0.00597617045150786,0.25
64,0.003,3,86.11116228533004,0.06526091009712331,0.329956232888894,0.6384572747776046,0.9989850246156604,0.0029545847669048674,0.008930755218412727,0.25
64,0.003,4,86.16817346960829,0.05701118427825236,0.3331151061035722,0.6465522714049874,0.9986003147833633,0.0029255080802410116,0.01185626329865374,0.25
64,0.003,5,86.21476383125997,0.04659036165168118,0.3212301878924343,0.643322159896779,0.999387698402452,0.002902587218832329,0.014758850517486068,0.25
64,0.003,6,87.3510521958262,1.1362883645662265,0.32077298485516853,0.644416620174567,0.9995811821028323,0.0028971186961492,0.01765596921363527,0.36
64,0.003,7,87.44587166146015,0.09481946563394672,0.3149467227529924,0.6450011315668761,0.9996679179716691,0.0028890418833913112,0.02054501109702658,0.36
64,0.003,8,87.60646107083842,0.16058940937827515,0.3164622026546685,0.6431481382494497,0.9996559045338703,0.002904139713342667,0.023449150810369246,0.36
64,0.003,9,87.73808350649209,0.13162243565366794,0.3188498715891521,0.6413368227431929,0.9996458038457529,0.002927936224134317,0.026377087034503564,0.36
64,0.003,10,87.87507819536879,0.13699468887669752,0.32260828243151474,0.6399168928699495,0.999619407778916,0.0029581629048261986,0.02933524993932976,0.36
64,0.003,11,87.98024675821648,0.1051685628476946,0.32710251352380487,0.6388649407358556,0.9995906318239444,0.0029926824685865957,0.03232793240791636,0.36
64,0.003,12,88.07478499832018,0.09453824010370226,0.33235114818460965,0.6380088204660734,0.9995709315706698,0.0030316197496402866,0.035359552157556644,0.36
64,0.003,13,88.18934320379068,0.11455820547050166,0.33801323522598364,0.6372243562090054,0.9995509577531174,0.0030729381902759594,0.0384324903478326,0.36
64,0.003,14,88.29996640129836,0.11062319750767813,0.34388499586009025,0.636554623651351,0.9992957534739687,0.003116048978057667,0.04154853932589027,0.36
64,0.003,15,88.39818983968414,0.09822343838577297,0.3445917648794862,0.6351316236770904,0.9995292509901498,0.0031478026719798276,0.04469634199787009,0.36
64,0.003,16,88.49220972067816,0.09401988099402558,0.3469943121280705,0.6348632485548875,0.9992555619772837,0.0031772159852718543,0.04787355798314195,0.36
64,0.003,17,88.60050180414903,0.1082920834708716,0.35149407240987474,0.635606542303033,0.9994638728649918,0.003213170133564471,0.05108672811670642,0.36
64,0.003,18,88.72399147311322,0.1234896689641829,0.3458844870114288,0.6364697007480974,0.9992137809515705,0.0032147598798491707,0.05430148799655559,0.36
64,0.003,19,88.82846797971312,0.1044765065999087,0.3305357833640511,0.6368188656822958,0.9981368760503387,0.0031808049572679136,0.057482292953823504,0.36
64,0.003,20,88.92640109174037,0.09793311202724908,0.30132958650515107,0.6371584142649295,0.9965574729321729,0.00309202084455499,0.06057431379837849,0.36
64,0.003,21,89.01251147585536,0.08611038411498839,0.2645133729482241,0.6372562553169788,0.9933997343198069,0.002964749242131398,0.0635390630405099,0.36
64,0.003,22,89.07559505879203,0.06308358293667027,0.2263624689984541,0.6330311677405028,0.9919026443231187,0.0028472522708082766,0.06638631531131817,0.36
64,0.003,23,89.2182937100562,0.14269865126416903,0.19691883661726517,0.6260787968625001,0.9953024651060081,0.002776528254449027,0.0691628435657672,0.36
64,0.003,24,88.262708604298,-0.9555851057582032,0.17829406438319242,0.6196801470595075,0.9908832494035714,0.002736089962895095,0.07189893352866229,0.25
64,0.003,25,88.3746124877943,0.11190388349629643,0.17717618537878468,0.6063793150102843,0.9981240738772265,0.0026623598384915305,0.07456129336715382,0.25
64,0.003,26,88.46444201783432,0.0898295300400207,0.16633526925603348,0.612020739546975,0.9982327276301347,0.002616712427155262,0.07717800579430908,0.25
64,0.003,27,88.56378646804032,0.09934445020600435,0.15633840382469444,0.6141788401288673,0.9957312274557812,0.0025833218196336877,0.07976132761394278,0.25
64,0.003,28,88.65528501305076,0.09149854501043819,0.1442025517416196,0.6091132034873294,0.9988292275850953,0.002504548740326133,0.08226587635426891,0.25
64,0.003,29,88.7170760133037,0.06179100025293849,0.13677031180577554,0.6134157039038446,0.999150986906803,0.0024698015904667005,0.0847356779447356,0.25
64,0.003,30,88.78148549066772,0.06440947736402336,0.13002510353053842,0.6156255940241055,0.9994779530319181,0.002442323215089099,0.0871780011598247,0.25
64,0.003,31,88.82918388341713,0.047698392749410345,0.12393053412933926,0.6174208776072392,0.9994968084237354,0.0024109553826891445,0.08958895654251385,0.25
64,0.003,32,88.85647343640292,0.027289552985791943,0.11789847892367786,0.6199181270456,0.9905829984253115,0.002373426550278565,0.09196238309279242,0.25
64,0.003,33,88.89726881492444,0.04079537852152271,0.10110523358898185,0.6192479070804189,0.9960982970817068,0.0021860441776880746,0.09414842727048049,0.25
64,0.003,34,88.97255495267765,0.07528613775320991,0.09782722000799995,0.6364985236861523,0.9977229546945486,0.002123966500814228,0.09627239377129472,0.25
64,0.003,35,89.01949914948415,0.046944196806492755,0.09147871140188776,0.6346712725159424,0.9986933204236197,0.002040526249779003,0.09831292002107372,0.25
64,0.003,36,89.03089143875918,0.01139228927503666,0.08544400345498293,0.6373022406052324,0.9968535750511658,0.0019554628408163808,0.1002683828618901,0.25
64,0.003,37,89.0503778711048,0.019486432345615867,0.07697123900504119,0.646497259058519,0.9986655868681034,0.0018539832261155287,0.10212236608800564,0.25
64,0.003,38,89.0638049039224,0.013427032817602935,0.07000917720352005,0.6518643574284471,0.9953264946461671,0.0017783779626650406,0.10390074405067068,0.25
64,0.003,39,89.0815368360371,0.01773193211469959,0.06578023212586162,0.6519447649342118,0.9991836535798994,0.0017317938512420147,0.1056325379019127,0.25
64,0.003,40,89.07225244901153,-0.009284387025573437,0.06064123994561492,0.6545374050309741,0.9932896076060119,0.0016903606215209152,0.10732289852343362,0.25
64,0.003,41,89.08842650205979,0.01617405304826036,0.05323757774594243,0.6529576750795688,0.9993191765172423,0.0016214489509798413,0.10894434747441346,0.25
64,0.003,42,89.12361793035569,0.03519142829590294,0.04923488576496998,0.6494906671071438,0.9992494544055068,0.0015911555539899103,0.11053550302840337,0.25
64,0.003,43,89.15531657783278,0.03169864747708573,0.045783904994091476,0.6459294527226882,0.9990629671225001,0.0015617240287895482,0.11209722705719292,0.25
64,0.003,44,89.19012888952346,0.034812311690686215,0.04272599043478281,0.6462760910120425,0.9953214008684562,0.0015326213497012912,0.11362984840689422,0.25
64,0.003,45,89.19844614719834,0.008317257674875123,0.03935387589185745,0.6629137796915769,0.9978090600170875,0.0014421367439823548,0.11507198515087658,0.25
64,0.003,46,89.24700254403709,0.04855639683874813,0.03711827622933607,0.6727915216232472,0.9983509873333655,0.0014118996869856041,0.11648388483786218,0.25
64,0.003,47,89.2767509116291,0.029748367592006275,0.03516647885017295,0.6747851161358933,0.9989539153566489,0.0013956524446076225,0.1178795372824698,0.25
64,0.003,48,89.31728205640853,0.04053114477943609,0.033434810869351066,0.6739384224209253,0.9934641276905696,0.0013812341319420596,0.11926077141441187,0.25
64,0.003,49,89.35663441036041,0.039352353951883856,0.03218914339498524,0.6763349235552232,0.9929444935866195,0.0013743296157878785,0.12063510103019974,0.25
64,0.003,50,89.4233824285021,0.06674801814168063,0.03058106764773819,0.674036731090992,0.9987621487666165,0.0013502350736192047,0.12198533610381894,0.25
64,0.003,51,89.45970364523968,0.03632121673759059,0.029570885951581215,0.6758771669342597,0.9984471267033903,0.0013426159789252168,0.12332795208274415,0.25
64,0.003,52,89.50226277925918,0.0425591340194984,0.028699919629017672,0.6770910597136365,0.991963578060082,0.0013374595598684613,0.1246654116426126,0.25
64,0.003,53,89.55510610389284,0.05284332463365615,0.027578797064540347,0.6774469906160504,0.9949591399023717,0.0013294234578436744,0.12599483510045628,0.25
64,0.003,54,89.60472375041175,0.049617646518910874,0.02670575918325945,0.6763617844958363,0.9988587268444655,0.0013118327540785817,0.12730666785453487,0.25
64,0.003,55,89.66381683273264,0.05909308232088506,0.02630183595056955,0.6776975265212831,0.99363425786179,0.0013095913949981513,0.12861625924953302,0.25
64,0.003,56,89.71894895012458,0.05513211739194901,0.02632521692430792,0.6785758275736388,0.9974511510854492,0.0013248851309970143,0.12994114438053003,0.25
64,0.003,57,89.75987404488538,0.04092509476079442,0.026750832440257562,0.678320311637033,0.9957681277932144,0.0013445275465548932,0.13128567192708493,0.25
64,0.003,58,89.83007309999442,0.07019905510904323,0.02667546171011083,0.6728016128852136,0.9926298461409228,0.0013624142790033345,0.13264808620608826,0.25
64,0.003,59,89.86930643460441,0.0392333346099889,0.026680527296980984,0.6836947045712006,0.9907761383546775,0.0013309631112396962,0.13397904931732796,0.25
64,0.003,60,89.92826077347661,0.05895433887219781,0.026846828998081253,0.6817003402881461,0.9895264885452824,0.0013507469335668342,0.13532979625089478,0.25
64,0.003,61,89.95483988933704,0.026579115860428715,0.026902914332130132,0.6851681432235005,0.9906895754416152,0.0013674321124738625,0.13669722836336864,0.25
64,0.003,62,90.01937597006425,0.0645360807272084,0.028135468942354445,0.6755679297181242,0.9811692782362941,0.0014029768693740248,0.13810020523274266,0.25
64,0.003,63,90.08110803976223,0.06173206969798173,0.03025747800750694,0.6768368625150842,0.9902885414912863,0.001392729988608092,0.13949293522135076,0.25
64,0.003,64,90.14642919175223,0.06532115199000543,0.030082163300495193,0.6827838928773705,0.9992177025054465,0.001424529624521938,0.1409174648458727,0.25
64,0.003,65,90.17606130356086,0.029632111808624018,0.03050951828820366,0.6753108178168056,0.9903369913333355,0.0014492263422858866,0.1423666911881586,0.25
64,0.003,66,90.23888986296663,0.06282855940577292,0.03126250996138886,0.6774397866755301,0.9897988787004965,0.0014148179173389059,0.1437815091054975,0.25
64,0.003,67,90.28517072108231,0.04628085811567928,0.030536775469217896,0.6814804777580391,0.9988563464748489,0.001427303728657849,0.14520881283415535,0.25
64,0.003,68,90.32398553036882,0.0388148092865066,0.031149553895104962,0.6729440936820357,0.989860391219208,0.001444836156198994,0.14665364899035435,0.25
64,0.003,69,90.35778699195689,0.033801461588069515,0.03234347527325688,0.6761606653477338,0.9919033928742593,0.0014111783988270104,0.14806482738918136,0.25
64,0.003,70,90.38138689948858,0.023599907531689723,0.03190320137485479,0.6801797566005617,0.9995086746790444,0.0014260504742186683,0.14949087786340004,0.25
64,0.003,71,90.40541199853077,0.0240250990421913,0.032274731612932116,0.6730227621668889,0.9925658402906936,0.0014407752327975454,0.15093165309619758,0.25
64,0.003,72,90.42619825617268,0.020786257641915995,0.033205735451420956,0.678510879440327,0.9994089857010658,0.001409144109982047,0.15234079720617963,0.25
64,0.003,73,90.43973251391122,0.013534257738541555,0.03256240568802124,0.6815583272716238,0.9940725243426343,0.0013981617976993569,0.153738959003879,0.25
64,0.003,74,90.47329648359066,0.033563969679434535,0.03119125378649876,0.684203711176971,0.9937925576799542,0.0013617273116587807,0.15510068631553778,0.25
64,0.003,75,90.50223490739752,0.02893842380686351,0.0301713780039805,0.6855305296869814,0.9943408182517671,0.0013417941552327608,0.15644248047077053,0.25
64,0.003,76,90.48650853616772,-0.01572637122980325,0.029287638460385314,0.6812736183578686,0.9886290354462145,0.0013270469925252826,0.1577695274632958,0.25
64,0.003,77,90.5205298139568,0.03402127778907982,0.02777312431353334,0.6751187509606945,0.9939773408790349,0.001282704136264549,0.15905223159956036,0.25
64,0.003,78,90.55135903503263,0.030829221075833857,0.026629487635517736,0.6728743286687757,0.9904363945169585,0.0012706440633358839,0.16032287566289624,0.25
64,0.003,79,90.55905935169079,0.007700316658159068,0.02493029343551778,0.6731970565434064,0.9951812362988933,0.0012402973490373075,0.16156317301193354,0.25
64,0.003,80,90.48214371216382,-0.07691563952697322,0.023125366190218544,0.6644770917655981,0.9949516872474646,0.0012222376932202073,0.16278541070515376,0.25
64,0.003,81,90.58555809289783,0.10341438073400866,0.021730631362773988,0.649855952932952,0.9983241549750186,0.0012158851664279724,0.16400129587158174,0.25
64,0.003,82,90.58655177479233,0.000993681894499332,0.020998140186007024,0.6395099856635025,0.9936373546574722,0.0012147032484053442,0.16521599911998708,0.25
64,0.003,83,90.59145391559143,0.004902140799103449,0.02102602945901986,0.6484063122415153,0.9905807976299703,0.0011960493366061713,0.16641204845659324,0.25
64,0.003,84,90.58877592835553,-0.0026779872358986267,0.020695754014366047,0.6394359372994238,0.9995312660099849,0.0012062421406615618,0.1676182905972548,0.25
64,0.003,85,90.60785076767046,0.01907483931492493,0.020526136498948522,0.6312989662087112,0.998578824304477,0.0012222170405570506,0.16884050763781186,0.25
64,0.003,86,90.51892546991415,-0.08892529775630464,0.020216908655975054,0.6250928625685227,0.9928876473812539,0.0012272224919994096,0.17006773012981127,0.25
64,0.003,87,90.61750575083573,0.09858028092158122,0.02036684481811524,0.636282583264328,0.989435538486035,0.001206372296806701,0.17127410242661797,0.25
64,0.003,88,90.59795154115537,-0.01955420968036492,0.020200078641734547,0.6416443029111482,0.9963482160620029,0.0011868360011560565,0.17246093842777402,0.25
64,0.003,89,90.62729046488256,0.029338923727195265,0.020130525858569812,0.6349388558916066,0.9986138102611642,0.0012090983730843395,0.17367003680085835,0.25
64,0.003,90,90.61631399432264,-0.010976470559924678,0.0199650014432419,0.6259123368664818,0.9915898185932738,0.0012260209070414764,0.17489605770789982,0.25
64,0.003,91,90.62254903943693,0.006235045114294735,0.02011630365020667,0.6326449560817445,0.9793574337217275,0.001213425470004229,0.17610948317790404,0.25
64,0.003,92,90.60038360636904,-0.02216543306789731,0.020024938288993648,0.6311112502213647,0.9867228269451439,0.0012254371982065482,0.1773349203761106,0.25
64,0.003,93,90.61158791842993,0.011204312060897337,0.019825491264548085,0.6205233142000125,0.9818705036888778,0.0012246240045017279,0.17855954438061233,0.25
64,0.003,94,90.61035311507587,-0.0012348033540661163,0.01901323787976343,0.6322235916330854,0.9800191167495141,0.0011546027810168636,0.1797141471616292,0.25
64,0.003,95,90.60447265986213,-0.005880455213741698,0.018718991712733328,0.6343256194148139,0.9977393847414509,0.001146154852525822,0.180860302014155,0.25
64,0.003,96,90.59247801600851,-0.01199464385361182,0.019039163675810364,0.6336703935363656,0.9990133228043153,0.0011573817701547636,0.18201768378430977,0.25
64,0.003,97,90.56250766870804,-0.029970347300476874,0.019062460591055617,0.6312272083969953,0.9869947791988064,0.0011666718268109363,0.1831843556111207,0.25
64,0.003,98,90.58429710165814,0.021789432950100718,0.019126296291304738,0.6315538296700233,0.9882901189783588,0.001160266281049174,0.18434462189216988,0.25
64,0.003,99,90.58378940750282,-0.00050769415531704,0.018731860614652533,0.630015442090997,0.9828305295535577,0.0011645123124894062,0.18550913420465928,0.25
64,0.003,100,90.56836148523392,-0.015427922268898442,0.020559006465773976,0.6421222110352139,0.9777852815009949,0.0012350562773012974,0.1867441904819606,0.25
