name,beta1,initial_score,final_score,best_score,best_iteration,best_gain,completed_adam_steps,total_wall_s,mean_iteration_wall_s,p95_iteration_wall_s,flow_wall_s,score_wall_s,pipeline_cache_hits,pipeline_wasted_endpoints,gradient_steps_applied,accepted_center_updates,non_ok_endpoints,temporal_rejections,negative_score_steps,last_100_running_best_gain,last_100_score_slope_per_100_steps,best_qh_error_per_helicity,best_iota_min,best_surface_inverse_aspect_ratio,score_step_100,best_step_100,score_step_200,best_step_200,score_step_300,best_step_300,score_step_400,best_step_400,score_step_500,best_step_500,score_step_600,best_step_600,component_axis,component_psi,component_surface,component_coordinate,component_volume_qs,component_iota,component_coil
beta1_0p5,0.5,85.5016048323999,92.0337664619344,92.18260218082604,595,6.680997348426132,585,3314.07029241696,5.354238008356964,5.8107644093222905,732.0742804799229,2474.1945857331157,599,12,585,600,15,0,252,0.21061675507993982,0.24675906585572074,0.0019864396135484694,1.5538126230239868,0.032306326631022876,90.07298937165822,90.08898744892122,91.3968399486748,91.3968399486748,91.44087194590341,91.49754955862592,91.80517049702787,91.80517049702787,91.9132578329862,91.9719854257461,92.0337664619344,92.18260218082604,97.3643138887757,99.05045899668782,83.54896407413248,90.88441466591607,94.8832020115501,100.0,65.58552716779728
beta1_0p7,0.7,85.50160483239989,92.32032490664348,92.38263968121153,574,6.8810348488116375,588,3338.013662684709,5.399736960195005,5.874186117947101,739.9937248714268,2493.881983028725,599,8,588,600,12,0,247,0.14218448673784678,0.1099215932741434,0.0016743242724984269,1.520576000213623,0.032004691209453845,90.09778265416551,90.14698197684916,91.44793354967955,91.57065969676391,91.6423647128623,91.93249662637379,92.17443442634033,92.19014578005196,92.17114822548172,92.24045519447368,92.32032490664348,92.38263968121153,96.9100331929417,99.11078152988159,83.14181552669513,90.84271571568327,95.55692910890136,100.0,65.60243573690998
beta1_0p9,0.9,85.5016048323999,92.18758959178062,92.36607211676309,580,6.864467284363187,590,3234.9152563309763,5.265515082357258,5.502355762210209,673.0911594558274,2484.7330964596476,599,16,590,600,10,0,243,0.19923432192523194,0.22412453693490647,0.001711067084284896,1.5466052293777466,0.0319844482613096,90.15343185617539,90.15841665046432,91.1488033878509,91.25389203678456,91.44324663899502,91.51012673250413,91.9575474651328,91.9695426715636,92.15556403100601,92.16683779483786,92.18758959178062,92.36607211676309,97.1301323472399,98.92861435563546,82.68664986051817,90.59771442530902,95.4903110166355,100.0,66.57287988632419
