point_id,case_id,source_id,kind,path,direction,alpha,normalized_delta_rms,position_delta_rms_m,coefficient_relative_l2,status,score,score_wall_s
0,0,1446077,source_raw,,,,,4.4713290408311026e-08,4.028171641745794e-08,ok,72.1850627159278,8.050465617328882
1,1,1446077,source_flipped,,,,,0.0,0.0,ok,72.19713568879688,8.001323459669948
2,2,1446077,source_canonical,,,,,4.31007106790893e-08,3.910132740260421e-08,ok,72.25119314050727,8.003381107002497
3,3,1446077,reconstruction,,,,0.0,0.0,0.0,ok,72.2544133583791,8.002795999869704
4,4,1446077,landscape,latent,0,-0.23999999463558197,0.23611101508140564,0.04547436182684004,0.03638363090541172,ok,35.80602058782555,10.610560091212392
5,5,1446077,landscape,tangent_direct,0,-0.23999999463558197,0.23810823261737823,0.042255960113022656,0.034263061942233004,ok,44.78112043000889,8.0204116422683
6,6,1446077,landscape,random_direct,0,-0.23999999463558197,0.23810824751853943,0.1346824269515421,0.10545711328448416,flux_rejected,0.31466441977300713,8.668383423238993
7,7,1446077,landscape,latent,0,-0.18000000715255737,0.17521372437477112,0.03313916194929611,0.02661869337323865,ok,54.274461184110066,7.0381131283938885
8,8,1446077,landscape,tangent_direct,0,-0.18000000715255737,0.17858119308948517,0.03169194903080427,0.025697284984339645,ok,57.93592804241807,9.632015066221356
9,9,1446077,landscape,random_direct,0,-0.18000000715255737,0.17858119308948517,0.10101181444580067,0.07909283277001136,flux_rejected,0.32047119539594005,8.69878144748509
10,10,1446077,landscape,latent,0,-0.11999999731779099,0.11645817011594772,0.02161839716887032,0.01742944928611448,ok,68.89617834780744,6.094355035573244
11,11,1446077,landscape,tangent_direct,0,-0.11999999731779099,0.11905411630868912,0.021127971387274062,0.017131525373593047,ok,69.40725432731972,7.022702783346176
12,12,1446077,landscape,random_direct,0,-0.11999999731779099,0.11905412375926971,0.06734121580735272,0.052728558044753314,drift_rejected,0.3109263256136776,4.942950518801808
13,13,1446077,landscape,latent,0,-0.09000000357627869,0.08746233582496643,0.01607563080600195,0.012982200810005217,ok,72.35183029999541,6.098077526316047
14,14,1446077,landscape,tangent_direct,0,-0.09000000357627869,0.08929060399532318,0.015845978206185322,0.012848645661371531,ok,72.41057327680456,6.083380360156298
15,15,1446077,landscape,random_direct,0,-0.09000000357627869,0.08929059654474258,0.050505915920325474,0.039546421155148,flux_rejected,0.38687395031707644,5.658261999487877
16,16,1446077,landscape,latent,0,-0.05999999865889549,0.05852175131440163,0.010644272118656832,0.00860876163260279,ok,71.61558858469449,7.209726290777326
17,17,1446077,landscape,tangent_direct,0,-0.05999999865889549,0.05952706187963486,0.010563976977480795,0.008565757954793557,ok,71.61810385937312,7.058027900755405
18,18,1446077,landscape,random_direct,0,-0.05999999865889549,0.05952706187963486,0.0336706192829706,0.026364286776835805,ok,8.80646174090966,5.132941488176584
19,19,1446077,landscape,latent,0,-0.04500000178813934,0.04401790350675583,0.007961688510521005,0.006443566795258931,ok,71.88092178730916,7.037296993657947
20,20,1446077,landscape,tangent_direct,0,-0.04500000178813934,0.04464529827237129,0.007922975422812381,0.00642431486910081,ok,71.90058743925135,7.21756137907505
21,21,1446077,landscape,random_direct,0,-0.04500000178813934,0.04464529827237129,0.025252972530780304,0.01977322013496556,ok,10.7515680458875,6.102232402190566
22,22,1446077,landscape,latent,0,-0.029999999329447746,0.029454225674271584,0.005296215510606843,0.00428912858919451,ok,71.97718765051334,7.039265895262361
23,23,1446077,landscape,tangent_direct,0,-0.029999999329447746,0.029763532802462578,0.0052819763701652525,0.0042828723839929295,ok,71.99183447239136,7.029460778459907
24,24,1446077,landscape,random_direct,0,-0.029999999329447746,0.02976352907717228,0.016835298844282313,0.01318213739269755,ok,21.42608672068267,7.23250182159245
25,25,1446077,landscape,latent,0,-0.024000000208616257,0.023604366928339005,0.004233870811747528,0.0034296611681988304,ok,72.07445004587024,7.05848441272974
26,26,1446077,landscape,tangent_direct,0,-0.024000000208616257,0.023810824379324913,0.004225588861424768,0.0034263009871101924,ok,72.07274111056574,7.047934832051396
27,27,1446077,landscape,random_direct,0,-0.024000000208616257,0.023810826241970062,0.01346824448155323,0.0105457147003593,ok,31.717162721513425,7.027461063116789
28,28,1446077,landscape,latent,0,-0.017999999225139618,0.017736773937940598,0.003173372635574108,0.0025712547698585166,ok,72.13922560661202,7.228795634582639
29,29,1446077,landscape,tangent_direct,0,-0.017999999225139618,0.017858117818832397,0.0031691906575787923,0.0025697253930862325,ok,72.14885700592662,7.065983569249511
30,30,1446077,landscape,random_direct,0,-0.017999999225139618,0.017858117818832397,0.010101209305939256,0.007909300044740938,ok,46.71695991157795,7.051465593278408
31,31,1446077,landscape,latent,0,-0.012000000104308128,0.011848796159029007,0.002114408137704038,0.0017136472498702007,ok,72.198252158975,7.039028931409121
32,32,1446077,landscape,tangent_direct,0,-0.012000000104308128,0.011905409395694733,0.002112793703122335,0.0017131492964357216,ok,72.19495868877357,7.227123228833079
33,33,1446077,landscape,random_direct,0,-0.012000000104308128,0.01190541498363018,0.00673413653971955,0.005272866386002952,ok,63.24965410409355,7.227899380028248
34,34,1446077,landscape,latent,0,-0.008999999612569809,0.008896414190530777,0.0015854753543880892,0.0012851222536488518,ok,72.20165904729276,6.107367547228932
35,35,1446077,landscape,tangent_direct,0,-0.008999999612569809,0.008929056115448475,0.001584594453243374,0.0012848617372011532,ok,72.19005978210072,6.369167365133762
36,36,1446077,landscape,random_direct,0,-0.008999999612569809,0.008929059840738773,0.005050599761040126,0.003954645574787371,ok,69.07009016072777,7.226934360340238
37,37,1446077,landscape,latent,0,-0.006000000052154064,0.005937623325735331,0.0010567459649460276,0.0008566656263771066,ok,72.20762270585818,6.160287557169795
38,38,1446077,landscape,tangent_direct,0,-0.006000000052154064,0.005952706094831228,0.0010563846798369808,0.0008565677685944136,ok,72.24917951644127,6.096016136929393
39,39,1446077,landscape,random_direct,0,-0.006000000052154064,0.005952702835202217,0.003367058488109588,0.0026364247516163877,ok,71.25325271712559,7.040261156857014
40,40,1446077,landscape,latent,0,-0.004000000189989805,0.003961480222642422,0.0007043867620837561,0.0005710704279635555,ok,72.202497531519,6.243595125153661
41,41,1446077,landscape,tangent_direct,0,-0.004000000189989805,0.003968470264226198,0.0007042597904622809,0.0005710463259281518,ok,72.20802056979691,6.129487322643399
42,42,1446077,landscape,random_direct,0,-0.004000000189989805,0.003968472592532635,0.002244717646292023,0.00175762564148236,ok,71.76100239797367,6.096897577866912
43,43,1446077,landscape,latent,0,-0.0020000000949949026,0.001982346875593066,0.0003521165440815698,0.00028550136268328446,ok,72.22713148545213,6.080896724015474
44,44,1446077,landscape,tangent_direct,0,-0.0020000000949949026,0.0019842342007905245,0.0003521123795707122,0.0002855130563807853,ok,72.20261435533388,6.2435300927609205
45,45,1446077,landscape,random_direct,0,-0.0020000000949949026,0.0019842360634356737,0.001122349238007078,0.0008788058113898816,ok,72.0651264105135,6.108704270794988
46,46,1446077,landscape,latent,0,-0.0010000000474974513,0.0009916413109749556,0.0001760478597025281,0.00014275229331744426,ok,72.21965656532018,6.097106264904141
47,47,1446077,landscape,tangent_direct,0,-0.0010000000474974513,0.0009921208256855607,0.00017605848120752732,0.00014275513593605763,ok,72.20870330317766,6.080973448231816
48,48,1446077,landscape,random_direct,0,-0.0010000000474974513,0.000992120010778308,0.0005611903377248464,0.0004394142193725708,ok,72.16722029743336,6.243489485234022
49,49,1446077,landscape,latent,0,0.0,1.1518514497765864e-07,2.949353875718035e-08,2.309062356631084e-08,ok,72.23941403848546,6.111217714846134
50,3,1446077,landscape,tangent_direct,0,0.0,0.0,0.0,0.0,ok,72.2544133583791,8.002795999869704
51,3,1446077,landscape,random_direct,0,0.0,0.0,0.0,0.0,ok,72.2544133583791,8.002795999869704
52,50,1446077,landscape,latent,0,0.0010000000474974513,0.0009922754252329469,0.0001760256384931373,0.0001427352578763282,ok,72.23332787202686,6.095713904127479
