point_id,case_id,source_id,kind,path,direction,alpha,normalized_delta_rms,position_delta_rms_m,coefficient_relative_l2,status,score,score_wall_s
0,0,1446077,source_raw,,,,,4.4713290408311026e-08,4.028171641745794e-08,ok,86.55212196966373,7.613330211490393
1,1,1446077,source_flipped,,,,,0.0,0.0,ok,86.56419827363439,7.604868220165372
2,2,1446077,source_canonical,,,,,4.31007106790893e-08,3.910132740260421e-08,ok,86.61823977033168,7.50700163282454
3,3,1446077,reconstruction,,,,0.0,0.0,0.0,ok,86.62147053012114,7.455317504703999
4,4,1446077,landscape,latent,0,-0.23999999463558197,0.23611101508140564,0.04547436182684004,0.03638363090541172,ok,83.77202778401427,10.551410365849733
5,5,1446077,landscape,tangent_direct,0,-0.23999999463558197,0.23810823261737823,0.042255960113022656,0.034263061942233004,ok,84.704503880947,8.198576778173447
6,6,1446077,landscape,random_direct,0,-0.23999999463558197,0.23810824751853943,0.1346824269515421,0.10545711328448416,flux_rejected,0.31466441977300713,8.706744998693466
7,7,1446077,landscape,latent,0,-0.18000000715255737,0.17521372437477112,0.03313916194929611,0.02661869337323865,ok,85.7099011968414,7.013794664293528
8,8,1446077,landscape,tangent_direct,0,-0.18000000715255737,0.17858119308948517,0.03169194903080427,0.025697284984339645,ok,86.00885791523292,9.578884674236178
9,9,1446077,landscape,random_direct,0,-0.18000000715255737,0.17858119308948517,0.10101181444580067,0.07909283277001136,flux_rejected,0.32047119539594005,8.891807796433568
10,10,1446077,landscape,latent,0,-0.11999999731779099,0.11645817011594772,0.02161839716887032,0.01742944928611448,ok,87.55135385726496,6.107051583006978
11,11,1446077,landscape,tangent_direct,0,-0.11999999731779099,0.11905411630868912,0.021127971387274062,0.017131525373593047,ok,87.65071046857743,7.017088947817683
12,12,1446077,landscape,random_direct,0,-0.11999999731779099,0.11905412375926971,0.06734121580735272,0.052728558044753314,drift_rejected,0.30971611683609773,4.920547012239695
13,13,1446077,landscape,latent,0,-0.09000000357627869,0.08746233582496643,0.01607563080600195,0.012982200810005217,ok,88.44685681217052,6.239903749898076
14,14,1446077,landscape,tangent_direct,0,-0.09000000357627869,0.08929060399532318,0.015845978206185322,0.012848645661371531,ok,88.48600437706953,6.107914544641972
15,15,1446077,landscape,random_direct,0,-0.09000000357627869,0.08929059654474258,0.050505915920325474,0.039546421155148,flux_rejected,0.38687395031707644,5.6402978003025055
16,16,1446077,landscape,latent,0,-0.05999999865889549,0.05852175131440163,0.010644272118656832,0.00860876163260279,ok,84.94605006373894,7.183138310909271
17,17,1446077,landscape,tangent_direct,0,-0.05999999865889549,0.05952706187963486,0.010563976977480795,0.008565757954793557,ok,84.9517714249645,7.222105052322149
