step,scale,score_slope,axis_slope,psi_slope,surface_slope,coordinate_slope,volume_qs_slope,iota_slope,coil_slope,target_error_slope,qa_error_slope,qp_error_slope,size_factor_slope,residual_component_slope
50,0.0003125,89.38063305595279,481.8716438134288,3.502828206705999,172.00897147031355,-8.473264516192103,63.14517613577664,0.49648284912109375,-25.391985231203762,-0.033012283408156984,-0.07796018860888321,-0.01425370531312753,0.04646262625627173,60.16428128516509
50,0.000625,44.172604031382434,75.28590296673201,4.315234377406796,171.19343849528832,-54.09030872161793,63.17773090280525,0.5120277404785156,-25.405870744759795,-0.03302622182668191,-0.0776572641250195,-0.014264592587556746,0.04639039390674782,60.20421060427452
50,0.00125,26.69151157003853,-114.62533004046236,4.960195259815237,169.68530540859206,-37.62276161116347,63.13749944365554,0.5314826965332031,-25.824738724702456,-0.033036297463034936,-0.07736295247867675,-0.014302051812953298,0.046040855352558197,60.19533488694151
89,0.0003125,59.08262723517055,299.3519969408453,0.6679450271349197,51.621206212576,241.83161195510365,-4.697181332585387,0.6910324096679688,21.3520922661246,0.009844900963369707,0.021144020710139877,0.009868683580527282,0.15600929599131064,-19.330215227682856
89,0.000625,-16.23392156391219,-173.73484758700215,-1.4533662828853267,52.53238174278749,-36.832767556984436,-4.7460641649649915,0.6659507751464844,21.35356692234609,0.009849229646348781,0.020474168679363025,0.009818787752766123,0.15587243203416534,-19.367137313372496
89,0.00125,9.660845735658086,78.8355163835945,-0.6866786740374664,52.95064479123539,-31.35200440740391,-4.737781669552987,0.6639480590820312,20.94957784415783,0.009847657070176027,0.020516689603372606,0.00984118055668004,0.1560637653466035,-19.37652671624619
100,0.0003125,12.049382704117306,62.96088214191968,-5.232710879840852,53.19562793984005,72.37522693501433,-19.981329464189912,0.8535385131835938,26.39548081747307,0.019066815034389506,0.04213105398533923,0.016087506832629384,0.17824751502697467,-36.833735634104414
100,0.000625,32.1414529011804,328.37744797597,-5.809708911942835,52.465057033077755,9.393968233837313,-20.033602837042963,0.8488655090332031,26.41112074555849,0.019074978431039835,0.04205135480683797,0.016084799455307053,0.17829960827651092,-36.891638963084006
100,0.00125,-18.185809955855348,-91.46935727329151,-2.9774447815498206,52.222799847623946,-74.86844863792612,-20.05012521879621,0.8356571197509766,24.306096506990116,0.019065954662627997,0.041301553389655465,0.01596455747893688,0.17735344950264853,-36.82047507651305
120,0.0003125,-10.157766803513368,134.9704244167924,-3.104851564648925,12.83628918561135,-131.26160798922228,-28.464350820240725,0.5868911743164062,5.665439201789013,0.023426418007309324,0.03295697748304516,0.015486870234188155,0.16814617799134624,-44.17383495090235
120,0.000625,-8.234303258450382,65.18317320575306,-3.4088477083969337,12.940520234212727,-39.10819550580982,-28.437278744286232,0.6001472473144531,1.858609894543406,0.023398704167038042,0.03324207395857259,0.015469222417993644,0.16811447950431102,-44.143559910344266
120,0.00125,-3.9008524852079063,59.32540518716678,-2.6649765021090843,11.977601298042373,12.512363825334205,-28.46713556123177,0.5884647369384766,-0.7461866291976094,0.023423184515412865,0.03286086170967151,0.015461236744863938,0.1678482806882542,-44.14931193598477
