iteration,current_score,best_score,invalid_direction_count,raw_gradient_rms,clean_gradient_rms,first_moment_rms,clean_first_moment_rms,contamination_first_moment_rms,contamination_first_moment_fraction,actual_update_rms,clean_counterfactual_update_rms,update_difference_rms,actual_clean_update_cosine
1,39.451404930477594,39.451404930477594,0,23.01718302293727,23.01718302293727,2.3017183022937266,2.3017183022937266,0.0,0.0,0.009999999972059284,0.009999999972059284,0.0,1.0
2,40.359363253619236,40.359363253619236,0,28.91020356825884,28.91020356825884,3.6146126959048015,3.6146126959048015,0.0,0.0,0.007219159498477352,0.007219159498477352,0.0,1.0
3,41.19604694262253,41.19604694262253,0,28.803339343845455,28.803339343845455,4.302649747539163,4.302649747539163,0.0,0.0,0.005958658397834276,0.005958658397834276,0.0,1.0
4,41.786399136676856,41.786399136676856,0,61.343734418930524,61.343734418930524,7.607617041526475,7.607617041526475,0.0,0.0,0.005377276895901022,0.005377276895901022,0.0,1.0
5,42.45655911983124,42.45655911983124,0,64.57855830726236,64.57855830726236,9.598590380723095,9.598590380723095,0.0,0.0,0.005099423516836017,0.005099423516836017,0.0,1.0
6,46.97546560919454,46.97546560919454,0,80.83553492355257,80.83553492355257,11.73150413015887,11.73150413015887,0.0,0.0,0.0046525676629233835,0.0046525676629233835,0.0,0.9999999999999999
7,47.09613264331546,47.09613264331546,0,60.878180496521146,60.878180496521146,12.451509711793337,12.451509711793337,0.0,0.0,0.004487914487474718,0.004487914487474718,0.0,1.0
8,47.35703278700691,47.35703278700691,0,50.35382996840862,50.35382996840862,12.285509022823003,12.285509022823003,0.0,0.0,0.003996249610263765,0.003996249610263765,0.0,1.0000000000000002
9,47.61499641607356,47.61499641607356,0,17.5870349943142,17.5870349943142,11.227625098985232,11.227625098985232,0.0,0.0,0.0035799361458286488,0.0035799361458286488,0.0,1.0
10,47.84878827191868,47.84878827191868,0,8.12368822926061,8.12368822926061,10.089724118118104,10.089724118118104,0.0,0.0,0.003176687123471053,0.003176687123471053,0.0,1.0000000000000002
11,48.03811993929247,48.03811993929247,0,10.78000146461809,10.78000146461809,9.205694092854149,9.205694092854149,0.0,0.0,0.002882147833311732,0.002882147833311732,0.0,1.0
12,48.2249789591601,48.2249789591601,0,8.43841025115123,8.43841025115123,8.33131754723375,8.33131754723375,0.0,0.0,0.0026129090199350237,0.0026129090199350237,0.0,1.0
13,48.47981158125768,48.47981158125768,0,27.185734242927182,27.185734242927182,8.013742561020345,8.013742561020345,0.0,0.0,0.002497565293796033,0.002497565293796033,0.0,1.0
14,48.75911735804205,48.75911735804205,0,21.666355015626955,21.666355015626955,7.513599851101719,7.513599851101719,0.0,0.0,0.0023368765439300203,0.0023368765439300203,0.0,1.0
15,49.07848309435198,49.07848309435198,0,20.99243757059046,20.99243757059046,7.053183245718348,7.053183245718348,0.0,0.0,0.0021946475331372263,0.0021946475331372263,0.0,0.9999999999999999
16,49.38775817769738,49.38775817769738,0,19.121898661790915,19.121898661790915,6.579026319439012,6.579026319439012,0.0,0.0,0.0020717247369076708,0.0020717247369076708,0.0,0.9999999999999998
17,49.73291012726364,49.73291012726364,0,20.60012256483186,20.60012256483186,6.467999837215968,6.467999837215968,0.0,0.0,0.002029294861711961,0.002029294861711961,0.0,1.0
18,50.033093357333634,50.033093357333634,0,8.731787371657294,8.731787371657294,5.894115652140253,5.894115652140253,0.0,0.0,0.0018650378106789063,0.0018650378106789063,0.0,1.0
