iteration,current_score,running_best,qh_error_per_helicity,iota,update_rms
600,92.32032490664348,92.38263968121153,0.0016571228580384613,1.5114929676055908,0.0015952865317734213
800,92.40490885270432,92.42942927110573,0.0015153432970993492,1.405916690826416,0.0026135849296489576
1000,92.49222906117913,92.5756487997658,0.001410676470844414,1.3860914707183838,0.0025940862132271866
1200,92.2172633906833,92.76441933640623,0.0016303930915929534,1.4786276817321777,0.004351419024508807
1400,92.51987131753428,92.81120058768093,0.001699565468391562,1.4818379878997803,0.005090806732045697
1600,92.89219805277212,92.90422500977769,0.001333050564065953,1.4675090312957764,0.0016588518393158033
1800,92.82129185427856,92.92430447103777,0.0014416938325274376,1.4615492820739746,0.0025989856143688365
1900,92.94283114254591,92.98749268050477,0.0012910392135423248,1.4567842483520508,0.003661150861813222
1945,93.04093293994109,93.04093293994109,0.0011823532639673126,1.4611836671829224,0.0027529439241443265
2000,92.930731683037,93.04093293994109,0.0012455765366129884,1.4465289115905762,0.0
