case_id,nfp,n_base_coils,status,score,iota_min,iota_max,iota_midpoint,iota_sign
0,4,1,no_axis,0.12840045939306682,,,,missing
1,5,1,ok,3.2966476665704314,-0.8142839074134827,-0.699616559271637,-0.7569502333425598,negative
2,6,1,no_surface,0.35816915536510463,,,,missing
3,7,1,no_surface,0.3000697989785557,,,,missing
4,8,1,ok,7.350381306249543,-1.4629775024283467,-1.4494959591054297,-1.4562367307668882,negative
5,2,2,no_axis,0.12177975875592212,,,,missing
6,3,2,no_axis,0.12443888535674652,,,,missing
7,4,2,no_axis,0.12258722302796357,,,,missing
8,5,2,no_surface,0.27661209483314136,,,,missing
9,6,2,no_axis,0.11723436602100262,,,,missing
10,7,2,ok,3.687148637430736,-0.5612358656012818,-0.5558752296764019,-0.5585555476388419,negative
11,8,2,no_surface,0.3073649131069033,,,,missing
12,2,3,no_axis,0.11994809145085589,,,,missing
13,3,3,no_axis,0.11817931133700772,,,,missing
14,4,3,no_axis,0.12217568608013095,,,,missing
15,5,3,ok,1.6411762379855184,-0.6267494559288025,-0.5427665804752749,-0.5847580182020387,negative
16,6,3,drift_rejected,0.3135282712832172,,,,missing
17,7,3,ok,11.261710740035717,-0.6226403651515916,-0.557843029499054,-0.5902416973253228,negative
18,8,3,no_surface,0.2463556046336017,,,,missing
19,2,4,no_axis,0.11909513390619285,,,,missing
20,3,4,no_surface,0.2520430275883418,,,,missing
21,4,4,no_axis,0.10791309400679686,,,,missing
22,5,4,no_axis,0.11051401499195664,,,,missing
23,6,4,no_axis,0.1097800243033969,,,,missing
24,7,4,no_surface,0.23540144455275863,,,,missing
25,8,4,ok,10.49596348004548,-0.44848837641804873,-0.34184345602989197,-0.39516591622397035,negative
26,4,1,no_surface,0.33136184603078583,,,,missing
27,5,1,no_axis,0.12536144859633758,,,,missing
28,6,1,ok,4.656038115659658,-0.9439501814356874,-0.9280132949352264,-0.9359817381854569,negative
29,7,1,ok,3.0658583017782717,-0.8520592188212027,-0.6430193185806274,-0.747539268700915,negative
30,8,1,no_axis,0.1220006306247413,,,,missing
31,2,2,no_axis,0.12065345272101165,,,,missing
32,3,2,no_surface,0.25058728470231156,,,,missing
33,4,2,no_axis,0.11994558482826863,,,,missing
34,5,2,no_axis,0.11730387024673855,,,,missing
35,6,2,no_surface,0.24289827849055184,,,,missing
36,7,2,no_surface,0.29319299927457,,,,missing
37,8,2,ok,41.28193800856665,-0.9215277694165707,-0.9034762509831732,-0.912502010199872,negative
38,2,3,no_axis,0.12264055935679992,,,,missing
39,3,3,no_axis,0.12649960324055506,,,,missing
40,4,3,drift_rejected,0.26848569703203123,,,,missing
41,5,3,no_axis,0.11050626174731507,,,,missing
42,6,3,drift_rejected,0.39185999102523233,,,,missing
43,7,3,ok,4.211416969701311,-0.6157423869847075,-0.5775459855794907,-0.596644186282099,negative
44,8,3,no_surface,0.2542582253204664,,,,missing
45,2,4,no_axis,0.12005648578860194,,,,missing
46,3,4,no_axis,0.11337309399062732,,,,missing
47,4,4,drift_rejected,0.2822980547513173,,,,missing
48,5,4,no_axis,0.11221704067231285,,,,missing
49,6,4,no_axis,0.10689655856796379,,,,missing
50,7,4,no_axis,0.11030453645246766,,,,missing
51,8,4,no_surface,0.27832416301280954,,,,missing
52,4,1,no_surface,0.3328819750368011,,,,missing
53,5,1,no_surface,0.2858286755916262,,,,missing
54,6,1,no_axis,0.11399150327152854,,,,missing
55,7,1,no_axis,0.12269639776693769,,,,missing
56,8,1,no_axis,0.1155666448069799,,,,missing
57,2,2,no_surface,0.2765994547504617,,,,missing
58,3,2,no_surface,0.27606045039198296,,,,missing
59,4,2,no_axis,0.12034434292769658,,,,missing
60,5,2,no_axis,0.10915577845460389,,,,missing
61,6,2,drift_rejected,0.34505173712877113,,,,missing
62,7,2,no_surface,0.25535630252425195,,,,missing
63,8,2,ok,30.837281361496863,-0.8010563305992598,-0.7883617920187268,-0.7947090613089933,negative
64,2,3,no_axis,0.12034389431433071,,,,missing
65,3,3,no_axis,0.1218456375929947,,,,missing
66,4,3,no_axis,0.11881327350463294,,,,missing
67,5,3,no_axis,0.11036188757326137,,,,missing
68,6,3,no_surface,0.3130908299245484,,,,missing
69,7,3,ok,4.360060735327644,-0.7503529053896266,-0.44417351484298706,-0.5972632101163069,negative
70,8,3,ok,25.070024547118482,-0.9708418250083923,-0.9041378497382556,-0.937489837373324,negative
71,2,4,no_axis,0.12043969881523237,,,,missing
72,3,4,no_axis,0.11543103543379943,,,,missing
73,4,4,no_axis,0.10848027420661702,,,,missing
74,5,4,no_axis,0.11206722358906779,,,,missing
75,6,4,no_surface,0.24345785704003206,,,,missing
76,7,4,no_surface,0.2456328133167166,,,,missing
77,8,4,no_axis,0.10974236976389136,,,,missing
78,4,1,no_axis,0.12692087834356977,,,,missing
79,5,1,no_surface,0.35789062500628166,,,,missing
80,6,1,no_axis,0.12553524906082622,,,,missing
81,7,1,ok,7.435817418179065,-1.57845538854599,-1.477930627073705,-1.5281930078098473,negative
82,8,1,no_surface,0.3436374768457486,,,,missing
83,2,2,no_axis,0.12258115483842336,,,,missing
84,3,2,no_axis,0.11867713706522023,,,,missing
85,4,2,no_axis,0.11826058223883307,,,,missing
86,5,2,no_axis,0.12030026751097436,,,,missing
87,6,2,no_axis,0.1188917955961657,,,,missing
88,7,2,ok,5.53627876022124,-0.8973363084021768,-0.8409415243707331,-0.8691389163864549,negative
89,8,2,no_axis,0.10754953988793314,,,,missing
90,2,3,no_axis,0.12010597724659236,,,,missing
91,3,3,no_axis,0.12041190010883096,,,,missing
92,4,3,drift_rejected,0.298911412831191,,,,missing
93,5,3,ok,4.841950888157096,-0.8071766002193037,-0.7871757016366364,-0.79717615092797,negative
94,6,3,ok,14.905104487617011,-0.5378870550688447,-0.5279335945087417,-0.5329103247887932,negative
95,7,3,drift_rejected,0.3635146174943108,,,,missing
96,8,3,ok,19.656608819855737,-0.6013017634574042,-0.5427088623326812,-0.5720053128950426,negative
97,2,4,no_surface,0.2503858829401614,,,,missing
98,3,4,no_surface,0.2803161287009691,,,,missing
99,4,4,no_axis,0.12099342706543714,,,,missing
100,5,4,no_axis,0.115497811113254,,,,missing
101,6,4,no_axis,0.1103052651566679,,,,missing
102,7,4,no_surface,0.27419549808857835,,,,missing
103,8,4,no_axis,0.10342978881340348,,,,missing
104,4,1,no_surface,0.27433988919866137,,,,missing
105,5,1,no_axis,0.1273993434041513,,,,missing
106,6,1,no_surface,0.3157913837080865,,,,missing
107,7,1,no_surface,0.32858200666394466,,,,missing
108,8,1,drift_rejected,0.3498785643827548,,,,missing
109,2,2,no_axis,0.12325438703845491,,,,missing
110,3,2,no_surface,0.2550219957296551,,,,missing
111,4,2,no_axis,0.12433828832196825,,,,missing
112,5,2,no_axis,0.12175522855164414,,,,missing
113,6,2,no_axis,0.11857351781374668,,,,missing
114,7,2,no_axis,0.11091880192764786,,,,missing
115,8,2,ok,7.47291671503386,-1.4317108392715454,-1.1219970817622296,-1.2768539605168874,negative
116,2,3,no_axis,0.11976987536436344,,,,missing
117,3,3,no_axis,0.11802379529138472,,,,missing
118,4,3,no_axis,0.11593219463272016,,,,missing
119,5,3,no_axis,0.11562837223460887,,,,missing
120,6,3,no_axis,0.1138175992560095,,,,missing
121,7,3,ok,24.9347347149028,-0.7185220662732751,-0.7074959221306004,-0.7130089942019378,negative
122,8,3,no_surface,0.2558567340811789,,,,missing
123,2,4,no_axis,0.1171144015599241,,,,missing
124,3,4,no_axis,0.11850476665117884,,,,missing
125,4,4,no_axis,0.11391451595709033,,,,missing
126,5,4,no_axis,0.1127281471966519,,,,missing
127,6,4,no_axis,0.10747221153953951,,,,missing
128,7,4,no_axis,0.11561645725357561,,,,missing
129,8,4,no_surface,0.2414718419053036,,,,missing
130,4,1,no_surface,0.361402025528623,,,,missing
131,5,1,no_axis,0.12152201991734245,,,,missing
132,6,1,ok,5.486783232799405,-0.9409420788288116,-0.9276083147755968,-0.9342751968022043,negative
