trajectory_id,case_id,nfp,n_base_coils,initial_score,initial_iota,initial_sign,best_score,best_iteration,best_iota,best_sign,final_score,final_iota,final_sign,trajectory_pattern,history_count
axisv3_case_00493,493,8,4,9.528313639762041,-0.9387317452644404,negative,66.51286351862082,196,-1.0323709275303543,negative,66.33739401068047,-1.056080162525177,negative,all_negative,200
axisv3_case_01434,1434,8,1,7.036157698806869,-1.2649934751338705,negative,10.921870900499266,155,-1.2245547591889032,negative,10.921870900499075,-1.2490631490945816,negative,all_negative,200
axisv3_case_02064,2064,7,2,10.007694447839617,-0.9683921386426424,negative,66.27952726803905,188,-1.0327238384360715,negative,65.95609606228787,-1.0520419478416443,negative,all_negative,200
axisv3_case_02488,2488,8,3,12.940001874578416,-1.2377431033880675,negative,66.70131414247203,62,-1.0207546965624934,negative,64.09776222937184,-1.0139113888144493,negative,all_negative,200
axisv3_case_02864,2864,8,1,7.539194959262773,-1.5194858675462233,negative,64.49426989414597,184,-1.070770478239747,negative,64.3399703959924,-1.0919634439051151,negative,all_negative,200
axisv3_case_03268,3268,8,3,21.348682168401435,-0.7535656213973563,negative,66.46599066100096,154,-1.0293111671958863,negative,65.28470853614598,-1.0564969033002853,negative,all_negative,200
axisv3_case_01481,1481,8,4,20.615533279400037,-0.5927903850517664,negative,65.7555172973651,120,-1.0211683952518016,negative,64.28018150335899,-1.1021586209535599,negative,all_negative,200
axisv3_case_00732,732,8,1,8.918439303118223,-1.1835724432038779,negative,60.76746095688944,112,-1.1595583079810385,negative,58.795387703731144,-1.2612990140914917,negative,all_negative,200
axisv3_case_00999,999,8,2,32.83860244569108,-0.9737334747479292,negative,65.67369181419205,143,-1.0541889930551203,negative,64.8980659266929,-1.058584339916706,negative,all_negative,200
axisv3_case_00200,200,8,3,15.929803511924375,-0.49972949256187005,negative,66.0860603787741,150,-1.113807184387801,negative,65.94348621406047,-1.1361367404460907,negative,all_negative,200
axisv3_case_01408,1408,8,1,7.461521383812611,-1.1704427527189576,negative,15.03955560750672,18,-0.9027719055925443,negative,13.210480033111294,-0.8366276986437844,negative,all_negative,200
axisv3_case_01232,1232,7,2,4.49329811811088,-0.7953253340120023,negative,66.19727417836441,166,-1.0307003137847224,negative,66.11148096185605,-1.0454514529556036,negative,all_negative,200
axisv3_case_01771,1771,7,1,6.6505312432889445,-1.479641820021003,negative,62.32332009001178,108,-1.075507403259033,negative,62.323320090011755,-1.1271682381629944,negative,all_negative,200
axisv3_case_01511,1511,7,1,4.109455473315756,-0.8985600857251828,negative,8.994352327149343,38,-1.032616503561532,negative,8.994352327149322,-1.0457155629992485,negative,all_negative,200
axisv3_case_03233,3233,6,2,9.862086191528688,-0.5618521955647346,negative,66.47020651466323,199,-1.0211063349627367,negative,66.42571278870679,-1.0440824925899506,negative,all_negative,200
axisv3_case_02832,2832,7,4,20.34118250896898,-0.5496343933777484,negative,67.24458726935931,191,-1.1449602392313596,negative,67.21854150749942,-1.1866701245307922,negative,all_negative,200
axisv3_case_02942,2942,8,1,5.250777485972079,-1.1914254481292348,negative,25.3651495824945,31,-1.0050993379549698,negative,25.36514958249375,-1.0089743502325195,negative,all_negative,200
axisv3_case_01473,1473,7,3,9.79406877577941,-1.1405402102547242,negative,66.22244914289175,192,-1.0378142907061272,negative,65.90147397982577,-1.1022590696811676,negative,all_negative,200
axisv3_case_02143,2143,8,2,13.633494779970725,-0.8612192429970895,negative,66.10268769839604,108,-1.0409741096680973,negative,65.86454566673387,-1.0654367506504059,negative,all_negative,200
axisv3_case_02344,2344,8,1,11.783296053841786,-0.9748936981921564,negative,62.690138998135524,112,-1.293236691060091,negative,61.598200090700615,-1.5445626974105835,negative,all_negative,200
axisv3_case_02499,2499,7,1,5.412281435330337,-1.3645221668436562,negative,61.14581854229825,113,-1.038057543067608,negative,60.510633110104216,-1.0722644180059433,negative,all_negative,200
axisv3_case_00842,842,7,2,7.46090754359316,-1.0813243639435988,negative,65.54581909201734,189,-1.1475998652066628,negative,65.50351125098595,-1.1894115805625916,negative,all_negative,200
axisv3_case_02993,2993,7,1,4.588109878418181,-0.9018205436219404,negative,13.311977401153234,115,-1.004411233325739,negative,13.311977401153053,-1.0118675976991653,negative,all_negative,200
axisv3_case_02123,2123,7,3,11.406400991794866,-0.5444990829288963,negative,66.61349399636677,53,-1.1708883810181998,negative,66.14102206308948,-1.0322471745312214,negative,all_negative,200
