step,component,full_g4_cosine,full_on_adam,g4_on_adam,full_gradient_rms,g4_projected_rms
50,axis,nan,-29.683296150030912,0.0,2.6903844899510925,0.0
50,psi,-0.031255153454310694,4.271082960029283,-7.809902848646318,0.10899960147658107,1.2327792996412763
50,surface,-0.5553807682493541,163.80256788189382,-86.13473869363499,6.915069561221432,2.2745056162172004
50,coordinate,-0.3967933007902011,-6.360469375542247,-111.62945139386936,0.8376627464823565,5.4393882265120945
50,volume_qs,-0.6911237382326169,63.11622949215025,-125.48546988689826,0.929334747751812,3.497195961992419
50,iota,nan,0.0,0.0,0.0,0.0
50,coil,0.999999999999999,-26.38800797961656,-26.388007979616553,0.9103343254543955,0.9103343254543955
89,axis,nan,-63.535572424642076,0.0,2.989402422494503,0.0
89,psi,0.22772591602532014,-0.8473402777826431,-15.029865763853454,0.07090246424045539,0.681421982609239
89,surface,0.061540995840091935,53.74266033199915,2.838651004741414,0.7175241819635922,0.7404351906394868
89,coordinate,-0.0456248772823461,-34.43778874876,-105.44416686932534,0.7979448613396005,2.831318874340949
89,volume_qs,0.1748959339607198,-4.749197339835083,-83.73364752413539,0.34411102602829285,1.6879515726572505
89,iota,nan,0.0,0.0,0.0,0.0
89,coil,0.9999999999999994,19.445469181949754,19.445469181949754,0.6646003092082676,0.6646003092082676
100,axis,nan,-161.11494011172198,0.0,3.377186473478438,0.0
100,psi,0.10800777087228423,-3.4864169693742433,-13.384255433609447,0.04492503158393915,0.6268330068237219
100,surface,0.2600645661564977,51.774184077978234,10.061022377441255,0.5558012852875324,0.6227686853470674
100,coordinate,-0.1282800475829708,-33.168092741932426,-172.9939727136208,0.7738772268199201,3.171931507586077
100,volume_qs,0.3079922621953067,-20.02235686576502,-99.1023258292404,0.39074131578195387,1.545260772159646
100,iota,nan,0.0,0.0,0.0,0.0
100,coil,0.9999999999999992,25.196316110595774,25.19631611059577,0.6584428791057453,0.6584428791057453
120,axis,nan,-108.5540784516759,0.0,2.667764444203893,0.0
120,psi,0.2569127886903925,-3.041728508841331,-2.4074531250956377,0.06594814394525296,0.5696841897277299
120,surface,0.8865568774532807,11.754217165903768,21.308694825634664,0.3298388271589641,0.4379682128609144
120,coordinate,-0.10315787656616655,-29.237091869476888,-168.17509313500113,0.7905404890999015,3.091872449823572
120,volume_qs,0.4965971682284415,-28.505080649860844,-86.70680402380607,0.5087162375993838,1.2624594995632388
120,iota,nan,0.0,0.0,0.0,0.0
120,coil,0.9999999999999994,3.4792868081162425,2.1210046877382966,0.6098293611161875,0.6003368150555928
