step,score,valid_g4_directions,full_g2_cosine,full_g3_cosine,full_g4_cosine,full_on_adam,g2_on_adam,g3_on_adam,g4_on_adam,full_rms,g2_rms,g3_rms,g4_projected_rms,g4_batch_wall_s,g4_query_mean_wall_s
50,89.396962762036,300,0.05244976953960281,0.23755815151720575,-0.5359988030491178,37.60076309777075,22.02482933995395,23.35491630358163,-75.3723472844791,1.170714472158662,0.10862342289210432,0.11586339836700087,2.2404163756681146,327.60445928759873,0.5450989339227932
89,90.61646493934656,300,-0.1184284303488403,-0.11003482875100763,0.04499427902030043,-4.946829502822055,16.284393138108936,15.908900844322556,-45.37603258842736,0.33334984859373745,0.08672351007860536,0.08570145884355836,1.0980276936223807,327.54767083376646,0.5450044439829724
100,90.58047541954089,300,-0.17994057999169397,-0.15967412167356682,0.12399906584182462,-20.99321079966976,16.298307119889408,15.882293311055795,-57.23899213641283,0.3657121369398118,0.08717825485163257,0.08543410023853672,1.0435028931235415,323.8691118740244,0.5388837136007061
120,90.30913175143453,292,-0.3054872427599092,-0.2717137184817752,0.31424912235404495,-24.601659150720856,16.819403662236518,16.288822926337957,-51.17456245842267,0.35510788609501015,0.08737019937908885,0.08484415525465193,0.8770990012002574,323.4388559719082,0.538167813597185
