label,keys,p50_ms,p95_ms,max_ms,median_call_share_percent
Magnetic axis,"['axis_search_s', 'axis_trace_s']",251.96219649999995,388.78613644999996,474.29001700000003,37.56824291442588
Psi fit and validation,"['psi_points_s', 'psi_fit_s', 'psi_validate_s']",142.5280745,143.905908,161.820839,21.45798387308072
Continuous surface screen,['surface_screen_s'],119.06388100000001,159.90568355000002,181.594782,17.81083086334383
Alpha/iota fit,"['volume_points_s', 'field_volume_s', 'alpha_assemble_s', 'alpha_solve_s']",85.4073935,87.99015065,89.82710499999999,12.86184148096315
Flux calibration,['flux_s'],38.263135000000005,67.32959435,85.73102300000001,6.135071783016198
Coil and field setup,"['field_create_s', 'coil_geometry_s']",23.464495499999998,61.4590729,128.23236,3.5058472879510214
QS metrics and final score,"['qs_metrics_s', 'score_s']",0.6285995000000001,0.6492535999999999,0.848359,0.09487893898545247
