key,label,p50_ms,p95_ms,max_ms,median_call_share_percent
surface_ray_roots_s,Ray/root setup,5.574389,5.688845850000001,5.7861780000000005,0.8395256473553264
surface_mixed_trace_s,One-period mixed-precision trace,95.5943355,136.40950075,157.974666,14.331146717813876
surface_mixed_reduce_s,Drift reduction,17.465976,17.6278389,18.525638,2.630673486205077
surface_fp64_trace_s,Optional FP64 trace,0.0,0.0,0.0,0.0
surface_fp64_reduce_s,Optional FP64 reduction,0.0,0.0,0.0,0.0
surface_long_trace_s,Optional long trace,0.0,0.0,0.0,0.0
surface_long_reduce_s,Optional long-trace reduction,0.0,0.0,0.0,0.0
surface_confidence_s,Confidence aggregation,0.44616049999999996,0.46241449999999995,0.5130399999999999,0.06784839392848682
