variant,grid,physical_point_count,augmented_row_count,calls,ok_call_fraction,paired_ok_cases,caller_wall_p50_s,caller_wall_p95_s,caller_wall_max_s,psi_fit_p50_s,psi_fit_p95_s,psi_points_p50_s,total_speedup_vs_grid80,psi_fit_speedup_vs_grid80,score_delta_median,score_delta_p95_abs,score_delta_max_abs,score_spearman,top_decile_overlap,score_ge_90_max_abs_delta,psi_train_rms_ratio_median,angle_p95_ratio_median,angle_p95_ratio_p95,angle_l2_ratio_median,angle_l2_ratio_p95,angle_p95_absolute_median,angle_p95_absolute_p95,angle_l2_absolute_median,angle_l2_absolute_p95
baseline,80,389440,391014,138,1.0,69,1.0130632240325212,1.2658237889409065,1.5177430100739002,0.440212946,0.44695874835,0.0045976685,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.278260019069795e-05,0.0003831456295354016,1.1016927714950655e-05,6.388888934702602e-05
psi_grid72,72,283392,284966,138,1.0,69,0.8972219415009022,1.1464907720685005,1.4562464840710163,0.323464011,0.3281866091,0.0044030054999999995,1.1291110673662705,1.3609333064258577,-0.020281483029577885,0.09721250892833093,0.8307066706563013,0.9998538545853125,1.0,0.04987778293298106,1.0509159508317356,1.0120812079388237,1.0754149001688764,1.0372256345056314,1.626749989080601,5.351194602759104e-05,0.00038393339798559694,1.2344882723855653e-05,6.437246188587594e-05
psi_grid64,64,197888,199462,138,1.0,69,0.7992287864908576,1.046600577700883,1.205072645097971,0.2275154655,0.23069548435,0.003165862,1.2675509705806995,1.9348704275226511,-0.020678370516208133,0.07598937428733732,0.9713669353361425,0.9997807818779687,1.0,0.07310766123757162,1.058078057938215,1.0122535343443526,1.096791513328519,1.0465317103472487,1.6328928756370489,5.3523394946523425e-05,0.0003858044173737039,1.2408626510192453e-05,6.40554829200321e-05
psi_grid56,56,131264,132838,138,1.0,69,0.7217648420482874,0.9687844100408256,1.1234437432140112,0.15230208750000002,0.15473851735,0.0011449774999999999,1.4035918141393002,2.890393383478739,-0.016185086496165013,0.0995025048249687,0.744153419347942,0.9998538545853125,1.0,0.09474365913972349,1.0441348145493736,1.011376576115756,1.098688720893573,1.0523360985055963,1.9012482805447715,5.3759769075920026e-05,0.0003816894243380336,1.2259613806856292e-05,6.422196270807071e-05
psi_grid48,48,82176,83750,138,1.0,69,0.6651626462116838,0.9133487670682371,1.063510773703456,0.098343314,0.0996733516,0.0005312909999999999,1.5230308403549775,4.4762874881356955,0.0007515455989164366,0.0795829792958709,0.5894486606103833,0.9999269272926562,1.0,0.022281572549715634,0.9954729939120719,0.9990961674163003,1.0136845989263157,1.002076731711103,1.0141566631565746,5.251661353230977e-05,0.0003879762445703754,1.0999564529309507e-05,6.412831281168355e-05
