case_id,variant,grid,baseline_score,candidate_score,score_delta,baseline_psi_angle_mean,baseline_psi_angle_p95,baseline_psi_angle_l2,candidate_psi_angle_mean,candidate_psi_angle_p95,candidate_psi_angle_l2,ratio_psi_angle_mean,ratio_psi_angle_p95,ratio_psi_angle_l2
1117971,psi_grid72,72,87.15304319068294,87.14294889179546,-0.01009429888748059,1.4081917121237076e-05,4.627568169832643e-05,1.0327868882761614e-05,1.4228217918515252e-05,4.683474783143473e-05,1.0637522929205375e-05,1.0103892670308037,1.0120812079388237,1.0299823758375368
1188492,psi_grid72,72,67.03251845353984,66.96685301306889,-0.06566544047095135,1.7049886802766503e-05,6.15371176972923e-05,1.0320474990681844e-05,1.7726276536808107e-05,6.451995464937685e-05,1.1158856387076251e-05,1.0396712155257155,1.0484721589782193,1.0812347684725137
1328106,psi_grid72,72,89.37849001887294,89.34477680146479,-0.03371321740814892,3.3921136738992575e-05,0.00011113602642025706,3.327016448273409e-05,3.393507717153166e-05,0.00011240096827632268,3.3571562133434325e-05,1.0004109659604379,1.011381924447094,1.009059097103552
1410262,psi_grid72,72,88.87144242028842,88.87194064977623,0.0004982294878175253,1.600469524547169e-05,6.178381287369072e-05,9.006379050368995e-06,1.6147376691876273e-05,6.194413861039381e-05,9.166549162566924e-06,1.008914974275749,1.00259494727253,1.0177840740770694
1410481,psi_grid72,72,81.35976174324477,81.33200339042227,-0.027758352822502275,6.17775721341398e-05,0.00019908059121092556,4.3208095756661244e-05,6.190715040576174e-05,0.0001991115081926543,4.321965316350846e-05,1.0020974969903411,1.000155298824163,1.0002674824392241
1413822,psi_grid72,72,81.75643999584423,81.99122988123027,0.23478988538603573,3.798039041607672e-05,0.00012675469934662832,2.139272283740662e-05,3.814612070360131e-05,0.00012676603692758,2.1501525854160193e-05,1.0043635751425672,1.0000894450541882,1.0050859826297251
1551144,psi_grid72,72,68.67207563856931,68.63304653070952,-0.03902910785978975,1.26194989685801e-05,4.6544460652403795e-05,6.553226369004841e-06,1.2896726396629599e-05,4.759139867792086e-05,6.776696779856147e-06,1.0219681802534109,1.0224932894450243,1.03410082275019
1566917,psi_grid72,72,78.72651138787836,78.68451486488419,-0.04199652299416812,2.4656312681116983e-05,8.701788848496467e-05,1.2747763877525588e-05,2.493518351026738e-05,8.799261749534802e-05,1.3758049783106236e-05,1.011310321732088,1.011201478539114,1.079252009629845
1571207,psi_grid72,72,92.24262498681705,92.19688900643528,-0.04573598038176385,6.196935165392273e-06,1.8772978703307998e-05,5.494737719972709e-06,6.968394809649289e-06,1.990363860115754e-05,6.683213588607521e-06,1.124490514047226,1.0602280498858876,1.2162934664405993
1626606,psi_grid72,72,84.72382849960721,84.6830483531833,-0.04078014642391281,0.00014645797223666334,0.000441743438938521,0.00011021224426714017,0.0001445374527926922,0.00044511683809520783,0.00011039518709368721,0.9868868903847191,1.00763655746601,1.0016599138123312
1633910,psi_grid72,72,85.11970185205104,85.12553769313422,0.005835841083182913,3.334602296643486e-05,0.00011316347458356014,3.4085033605507045e-05,3.346157695834524e-05,0.00011270828858557965,3.4230850770478124e-05,1.0034653005555323,0.9959776244087982,1.004278040815765
1636749,psi_grid72,72,77.18544936341112,77.18913234418088,0.0036829807697529304,3.903583380099796e-05,0.00011373656667708884,3.717606029320396e-05,3.9223129712369135e-05,0.0001148840102183558,3.742760103601557e-05,1.004798050742966,1.0100886071629425,1.0067662022502581
1645833,psi_grid72,72,74.09675303388553,74.07093258648624,-0.025820447399297564,2.3099648784045723e-05,0.00010256115392642337,1.2085951083702614e-05,2.355466732824488e-05,0.00010435637735720221,1.2689097583511115e-05,1.019698071968671,1.0175039316744303,1.0499047609601713
1673278,psi_grid72,72,79.9247113227724,79.90904539564117,-0.01566592713122361,1.3269155278649256e-05,4.8433113050493285e-05,7.994885828148008e-06,1.3690849517991718e-05,4.8824980822411454e-05,8.391155202747308e-06,1.0317800365198069,1.008090906143275,1.049565357544461
1673401,psi_grid72,72,80.3486016152444,80.33255197280755,-0.016049642436854583,1.3452089284953397e-05,5.278260019069795e-05,7.805553480267234e-06,1.388753449502895e-05,5.323920076241989e-05,8.507486065531674e-06,1.0323700802790992,1.0086505888317796,1.089927330206494
1681132,psi_grid72,72,88.99933469662196,88.89842318879016,-0.10091150783179614,4.644652802641776e-06,2.0383974809614165e-05,3.3233069302827404e-06,6.719186761666448e-06,2.1104424161262984e-05,6.2540975047181774e-06,1.446649953650943,1.0353439090451102,1.8818898271867086
1681431,psi_grid72,72,70.73500482518625,70.71216196730578,-0.022842857880476686,1.532306953178805e-05,6.66608030789139e-05,1.0249005211966553e-05,1.59112604352564e-05,6.823007605037943e-05,1.0907025720236102e-05,1.038385971051566,1.023541165107294,1.0642033538534312
1681811,psi_grid72,72,78.66369171307673,78.66436204018027,0.0006703271035348735,0.0001367817775033249,0.0005858420075882817,7.136909308451013e-05,0.0001373891663342104,0.0005889085152490294,7.216876072171794e-05,1.004440568341574,1.0052343594706898,1.0112046770197975
1734167,psi_grid72,72,88.29990129309898,88.3171870883224,0.017285795223415334,4.639433034541488e-05,0.00015046728245235073,3.9168766197527227e-05,4.647115487115425e-05,0.00015115956662659525,3.9344606758282264e-05,1.001655903321966,1.004600895044833,1.0044893055826236
1738437,psi_grid72,72,89.78092604355008,89.77009879078756,-0.010827252762524608,2.3802724822757018e-05,7.166193684930426e-05,2.5012488306706482e-05,2.4018989403799066e-05,7.139902993886859e-05,2.529138712181607e-05,1.0090857068950059,0.99633128935674,1.0111503826284571
1747896,psi_grid72,72,93.30668808213852,93.26718883171523,-0.03949925042329028,8.10313973903179e-06,2.5957837239450158e-05,8.041741703209779e-06,8.7260541803908e-06,2.7350994939924553e-05,8.861799244043088e-06,1.0768732196926718,1.0536700221834008,1.1019751157272302
1748858,psi_grid72,72,83.39247053153026,83.36087481194882,-0.03159571958144625,9.991386303388598e-06,2.8821228668462418e-05,1.1016927714950655e-05,1.0651741699087425e-05,3.0150658012174744e-05,1.2412563392204889e-05,1.0660924696180416,1.0461267407786488,1.126681023363734
1777210,psi_grid72,72,92.94877329279123,92.93806563391456,-0.010707658876668802,1.5852586309032798e-05,5.1186561411945376e-05,1.6246846981654188e-05,1.5946129056110826e-05,5.167044306704353e-05,1.6525994622606697e-05,1.00590078774873,1.009453294805328,1.017181650154502
1779987,psi_grid72,72,75.49291110587484,75.47843466937066,-0.014476436504182288,1.3048768264598804e-05,4.465264772380426e-05,7.897829058606637e-06,1.3563021634117031e-05,4.522808030630484e-05,9.009874318942532e-06,1.0394101082255705,1.0128868636426642,1.1408039161247796
1781239,psi_grid72,72,88.02378360455809,88.03195832904302,0.008174724484931062,1.4133376277123236e-05,4.1328498576614125e-05,1.2187996219365392e-05,1.4171122657755408e-05,4.188877729847229e-05,1.2344882723855653e-05,1.0026707263637542,1.0135567160955419,1.0128722147321465
1784946,psi_grid72,72,83.33299990665874,83.28779531386215,-0.045204592796594056,6.878699763898807e-06,2.1950503886246542e-05,5.298574137503951e-06,7.57689808429408e-06,2.3523067252492673e-05,6.6677189190807115e-06,1.1015014965560204,1.0716413333559713,1.2583987212495127
1785460,psi_grid72,72,76.63887521477197,76.64063056936638,0.0017553545944082316,2.175551436636848e-05,7.611120574425834e-05,1.826446417060575e-05,2.1969534540591436e-05,7.721618521844881e-05,1.837521430342343e-05,1.0098375138651654,1.0145179604420316,1.006063694602983
1813769,psi_grid72,72,93.07633177679737,93.05924491056594,-0.017086866231437625,1.4450802173630773e-05,4.9946015148692094e-05,1.479571118568369e-05,1.4590388094275654e-05,5.05155234956837e-05,1.494685343055108e-05,1.0096593890752716,1.011402478161594,1.010215274073046
1815557,psi_grid72,72,73.73802597845082,73.69560184568418,-0.04242413276664081,1.163548473457641e-05,3.908707123564622e-05,8.017461224856826e-06,1.2279465558145365e-05,4.16732818928472e-05,8.812397141410838e-06,1.0553462823646083,1.0661653732409204,1.0991505782515596
1820578,psi_grid72,72,76.42326453416693,76.37470872871998,-0.04855580544695215,4.1561149334424804e-06,1.8702684939028622e-05,3.610413509949338e-06,5.414393313923629e-06,1.9960321566204635e-05,5.289139154671871e-06,1.3027535091381426,1.0672436407540389,1.464967694170325
1849717,psi_grid72,72,86.5969320606734,86.59224420820138,-0.0046878524720170844,5.368188428426534e-05,0.00016087371528339042,4.127115903809741e-05,5.35724049411208e-05,0.00016129726349445227,4.13674899340064e-05,0.9979605905306004,1.0026327993377646,1.0023340971795842
1852892,psi_grid72,72,82.98130813438507,82.98173127611588,0.0004231417308062646,2.0595316105033376e-05,7.232601937387601e-05,1.3619310334724005e-05,2.0879719565471174e-05,7.14623979411681e-05,1.4048751723770862e-05,1.013809133056632,0.9880593258113158,1.0315318014269743
1854509,psi_grid72,72,92.72322328867719,92.72153416868817,-0.0016891199890238795,1.12725897185421e-05,3.999110864897855e-05,1.2228993806750588e-05,1.1773538792268282e-05,4.011651262166068e-05,1.2684225860572316e-05,1.0444395730026594,1.0031357963537062,1.0372256345056314
1873795,psi_grid72,72,82.6826918451381,82.59661526740022,-0.08607657773787025,3.863399089513567e-05,0.0001205004738929299,1.800701904089575e-05,3.8877594284417454e-05,0.0001212824451596823,1.806813241980899e-05,1.006305416128067,1.0064893625849738,1.003393864291166
1887411,psi_grid72,72,79.82648478613278,79.80866731624566,-0.017817469887120296,3.61174116596738e-05,0.00016938408991184567,1.3577742001503169e-05,3.653642607606587e-05,0.00017105026102872008,1.3884270067009032e-05,1.011601451962847,1.0098366447388392,1.0225757762573429
1894899,psi_grid72,72,93.81491378404573,93.78633390621174,-0.028579877833990963,4.836886462534664e-06,2.201001929308776e-05,3.6889237969566207e-06,5.898583216649342e-06,2.267355805372336e-05,5.092019764629195e-06,1.2195000363019313,1.0301471230806227,1.3803537413351112
