point_id,case_id,source_id,kind,path,direction,alpha,normalized_delta_rms,position_delta_rms_m,coefficient_relative_l2,status,score,score_wall_s
0,0,1446077,source_raw,,,,,4.4713290408311026e-08,4.028171641745794e-08,ok,88.5005160515597,4.313679066020995
1,1,1446077,source_flipped,,,,,0.0,0.0,ok,88.5005094327977,4.305188526865095
2,2,1446077,source_canonical,,,,,4.31007106790893e-08,3.910132740260421e-08,ok,88.5546607276136,4.31946709100157
3,3,1446077,reconstruction,,,,0.0,0.0,0.0,ok,88.55737073408797,4.304270702879876
4,4,1446077,landscape,latent,0,-0.23999999463558197,0.23611101508140564,0.04547436182684004,0.03638363090541172,ok,84.70023263066174,4.83897095778957
5,5,1446077,landscape,tangent_direct,0,-0.23999999463558197,0.23810823261737823,0.042255960113022656,0.034263061942233004,ok,85.90554853542666,2.4849555483087897
6,6,1446077,landscape,random_direct,0,-0.23999999463558197,0.23810824751853943,0.1346824269515421,0.10545711328448416,flux_rejected,0.2725307914239081,2.413124072365463
7,7,1446077,landscape,latent,0,-0.18000000715255737,0.17521372437477112,0.03313916194929611,0.02661869337323865,ok,86.02989260266824,2.4726423560641706
8,8,1446077,landscape,tangent_direct,0,-0.18000000715255737,0.17858119308948517,0.03169194903080427,0.025697284984339645,ok,86.42326011487847,4.841153223998845
9,9,1446077,landscape,random_direct,0,-0.18000000715255737,0.17858119308948517,0.10101181444580067,0.07909283277001136,flux_rejected,0.28068031050329617,2.402375301811844
10,10,1446077,landscape,latent,0,-0.11999999731779099,0.11645817011594772,0.02161839716887032,0.01742944928611448,ok,86.8755499839842,2.4984221439808607
11,11,1446077,landscape,tangent_direct,0,-0.11999999731779099,0.11905411630868912,0.021127971387274062,0.017131525373593047,ok,87.2233259699908,2.4713846892118454
12,12,1446077,landscape,random_direct,0,-0.11999999731779099,0.11905412375926971,0.06734121580735272,0.052728558044753314,flux_rejected,0.3012363266725837,2.398422630969435
13,13,1446077,landscape,latent,0,-0.09000000357627869,0.08746233582496643,0.01607563080600195,0.012982200810005217,ok,87.47753478162294,2.499030611012131
14,14,1446077,landscape,tangent_direct,0,-0.09000000357627869,0.08929060399532318,0.015845978206185322,0.012848645661371531,ok,87.51380911548488,2.496632286347449
15,15,1446077,landscape,random_direct,0,-0.09000000357627869,0.08929059654474258,0.050505915920325474,0.039546421155148,flux_rejected,0.3209869210684635,2.3956658923998475
16,16,1446077,landscape,latent,0,-0.05999999865889549,0.05852175131440163,0.010644272118656832,0.00860876163260279,ok,87.74410652671453,2.484393856022507
17,17,1446077,landscape,tangent_direct,0,-0.05999999865889549,0.05952706187963486,0.010563976977480795,0.008565757954793557,ok,87.76446328734144,2.4924843492917717
18,18,1446077,landscape,random_direct,0,-0.05999999865889549,0.05952706187963486,0.0336706192829706,0.026364286776835805,ok,72.70589789968567,2.4905722490511835
19,19,1446077,landscape,latent,0,-0.04500000178813934,0.04401790350675583,0.007961688510521005,0.006443566795258931,ok,88.14380509425979,2.4732245127670467
20,20,1446077,landscape,tangent_direct,0,-0.04500000178813934,0.04464529827237129,0.007922975422812381,0.00642431486910081,ok,88.17014416400205,2.4831424560397863
21,21,1446077,landscape,random_direct,0,-0.04500000178813934,0.04464529827237129,0.025252972530780304,0.01977322013496556,ok,76.49420707977417,2.4846546137705445
22,22,1446077,landscape,latent,0,-0.029999999329447746,0.029454225674271584,0.005296215510606843,0.00428912858919451,ok,88.12483056311521,2.501364376395941
23,23,1446077,landscape,tangent_direct,0,-0.029999999329447746,0.029763532802462578,0.0052819763701652525,0.0042828723839929295,ok,88.13744816424695,2.473760330118239
24,24,1446077,landscape,random_direct,0,-0.029999999329447746,0.02976352907717228,0.016835298844282313,0.01318213739269755,ok,80.22227395427346,2.4822669131681323
25,25,1446077,landscape,latent,0,-0.024000000208616257,0.023604366928339005,0.004233870811747528,0.0034296611681988304,ok,88.26784896027645,2.491105301771313
26,26,1446077,landscape,tangent_direct,0,-0.024000000208616257,0.023810824379324913,0.004225588861424768,0.0034263009871101924,ok,88.26752382966995,2.5021798228845
27,27,1446077,landscape,random_direct,0,-0.024000000208616257,0.023810826241970062,0.01346824448155323,0.0105457147003593,ok,81.84065429202447,2.4766857898794115
28,28,1446077,landscape,latent,0,-0.017999999225139618,0.017736773937940598,0.003173372635574108,0.0025712547698585166,ok,88.35922168869489,2.4790243399329484
29,29,1446077,landscape,tangent_direct,0,-0.017999999225139618,0.017858117818832397,0.0031691906575787923,0.0025697253930862325,ok,88.36663627749721,2.4903386821970344
30,30,1446077,landscape,random_direct,0,-0.017999999225139618,0.017858117818832397,0.010101209305939256,0.007909300044740938,ok,83.48161947191957,2.509095147717744
31,31,1446077,landscape,latent,0,-0.012000000104308128,0.011848796159029007,0.002114408137704038,0.0017136472498702007,ok,88.41545256671449,2.4773615282028913
32,32,1446077,landscape,tangent_direct,0,-0.012000000104308128,0.011905409395694733,0.002112793703122335,0.0017131492964357216,ok,88.41803215169162,2.4779816730879247
33,33,1446077,landscape,random_direct,0,-0.012000000104308128,0.01190541498363018,0.00673413653971955,0.005272866386002952,ok,84.97999872098669,2.4904726203531027
34,34,1446077,landscape,latent,0,-0.008999999612569809,0.008896414190530777,0.0015854753543880892,0.0012851222536488518,ok,88.42182391955244,2.495284861885011
35,35,1446077,landscape,tangent_direct,0,-0.008999999612569809,0.008929056115448475,0.001584594453243374,0.0012848617372011532,ok,88.41053787331631,2.4734204672276974
36,36,1446077,landscape,random_direct,0,-0.008999999612569809,0.008929059840738773,0.005050599761040126,0.003954645574787371,ok,85.74085361205617,2.4871479109860957
37,37,1446077,landscape,latent,0,-0.006000000052154064,0.005937623325735331,0.0010567459649460276,0.0008566656263771066,ok,88.62925982767823,2.484772990923375
38,38,1446077,landscape,tangent_direct,0,-0.006000000052154064,0.005952706094831228,0.0010563846798369808,0.0008565677685944136,ok,88.67067732871637,2.4953206423670053
39,39,1446077,landscape,random_direct,0,-0.006000000052154064,0.005952702835202217,0.003367058488109588,0.0026364247516163877,ok,86.78173219029551,2.472079790197313
40,40,1446077,landscape,latent,0,-0.004000000189989805,0.003961480222642422,0.0007043867620837561,0.0005710704279635555,ok,88.59706093708361,2.4830703982152045
41,41,1446077,landscape,tangent_direct,0,-0.004000000189989805,0.003968470264226198,0.0007042597904622809,0.0005710463259281518,ok,88.59071992024194,2.48418838204816
42,42,1446077,landscape,random_direct,0,-0.004000000189989805,0.003968472592532635,0.002244717646292023,0.00175762564148236,ok,87.40450369437771,2.4956823070533574
43,43,1446077,landscape,latent,0,-0.0020000000949949026,0.001982346875593066,0.0003521165440815698,0.00028550136268328446,ok,88.58330143585053,2.4718853011727333
44,44,1446077,landscape,tangent_direct,0,-0.0020000000949949026,0.0019842342007905245,0.0003521123795707122,0.0002855130563807853,ok,88.55237931948449,2.4778095073997974
45,45,1446077,landscape,random_direct,0,-0.0020000000949949026,0.0019842360634356737,0.001122349238007078,0.0008788058113898816,ok,88.01878007323212,2.489310961216688
46,46,1446077,landscape,latent,0,-0.0010000000474974513,0.0009916413109749556,0.0001760478597025281,0.00014275229331744426,ok,88.54414755479854,2.4971562158316374
