case_id,helicity,nfp,status,score,wall_s,metadata_qs_error,metadata_mean_iota,surface_level,inverse_aspect_ratio,iota,qs_global_error,qs_edge_error,flux_attempt_count
971,0,2,ok,62.765596140949334,2.0519733913242817,0.0005978649102434427,0.1,0.04,0.015395729955342906,0.10284149646759033,0.40379542193106754,0.4035301156089919,1
1956,0,2,ok,63.266018435410864,2.0251118391752243,0.0004056805274109366,0.2,0.08,0.019691012759002147,0.18833231925964355,0.421004544738252,0.4204712150509101,1
3161,0,2,ok,63.44017320187265,2.067189045250416,0.00036582018871153006,0.3,0.08,0.020758103835365523,0.2705039381980896,0.3387104533841779,0.33829959052327097,2
10463,0,2,ok,70.70205672364094,2.320669800043106,2.307357374388468e-06,0.1,0.08,0.022656939189757228,0.11015084385871887,0.025359647338868203,0.025702100122040984,1
10992,0,2,ok,73.7673377387766,2.383649429306388,2.5724796358803824e-05,0.2,0.36,0.031188376951663703,0.19098222255706787,0.031099818395459437,0.03681830647968711,1
11307,0,2,ok,70.6721880537429,2.4064838010817766,2.464070589709719e-06,0.2,0.08,0.020710538678281393,0.18836770951747894,0.017032420219314063,0.018085592437388373,1
11919,0,2,ok,67.84037303018118,2.350037971511483,0.00047006807294687464,0.3,0.25,0.029327719695488665,0.29665592312812805,0.19895689852890197,0.20456308669188936,1
11987,0,2,ok,69.27710773885795,2.351801924407482,3.1913561926515794e-05,0.3,0.16,0.02390453262205405,0.2768302857875824,0.06047617728436153,0.06405952916482568,1
12563,0,2,no_surface,35.038666093679396,1.8494059201329947,3.508636897495523e-06,0.3,nan,nan,nan,nan,nan,0
13700,0,2,no_surface,33.30486139912469,1.8122958540916443,9.365495658620477e-09,0.4,nan,nan,nan,nan,nan,0
14792,0,2,ok,65.03898471151635,2.3069562762975693,2.5839271974884737e-08,0.5,0.04,0.01588586137514538,0.4273657202720642,0.011888634841050209,0.015634617611378,1
15887,0,2,ok,65.05323074564248,2.3852790277451277,9.135703177523256e-07,0.6,0.04,0.014718699031669202,0.4949377775192261,0.022115841058046114,0.02537920169605434,2
18932,0,2,no_surface,41.79080353606772,1.8345564436167479,0.0003454969635234704,0.9,nan,nan,nan,nan,nan,0
19139,0,2,no_surface,31.477440438573893,1.8358502183109522,2.130568511863636e-07,0.9,nan,nan,nan,nan,nan,0
19803,0,2,ok,77.61058824363741,2.8454553820192814,8.247976070000892e-10,0.1,0.36,0.03335024167675649,0.09675189107656479,0.008249832547180775,0.011023454456347268,2
20559,0,2,ok,75.22879202763367,2.945074114948511,1.6288395171932587e-08,0.2,0.16,0.02683065978463606,0.19092968106269836,0.009458048038417662,0.01259662630837872,3
21519,0,2,ok,71.5403721029367,2.886428249999881,3.83990409213179e-08,0.3,0.08,0.018706600440525696,0.2772064507007599,0.011485297865633504,0.014678533031171353,4
28842,0,2,ok,77.03623851543014,3.289429297670722,4.102978970114534e-08,0.1,0.25,0.03040751741052027,0.11419067531824112,0.008419980904427441,0.010941717885975148,3
28863,0,2,ok,77.83396680704365,3.375567188486457,4.844487662186525e-08,0.1,0.36,0.03540067884175295,0.10863377898931503,0.012538700124145792,0.016469961695961103,2
30038,0,2,ok,72.32777068382576,3.2839553486555815,2.7789891876330785e-10,0.2,0.08,0.021807044778289583,0.19612286984920502,0.00593056213430886,0.008000797861023817,1
30496,0,2,ok,73.5257900135224,3.284616179764271,2.63047348897585e-07,0.3,0.16,0.026855039723126133,0.2858596444129944,0.018274183155888527,0.02294907165435174,3
31893,0,2,ok,68.44731766240355,3.4021149408072233,6.75308788406739e-08,0.5,0.08,0.019696763181695765,0.43723419308662415,0.016702744411913693,0.02243906579588936,2
31935,0,2,ok,66.5870216222499,3.320062465965748,9.604477783080864e-08,0.5,0.08,0.017830574836368636,0.4374103546142578,0.03740238249630528,0.05004018642481004,1
32210,0,2,no_surface,30.236680796574454,2.5134478826075792,2.0679532707742337e-08,0.5,nan,nan,nan,nan,nan,0
32926,0,2,ok,65.60169595859813,3.3769996743649244,3.452785240646373e-07,0.6,0.04,0.015145793099778947,0.4896467626094818,0.015707225024142502,0.01989146596953529,2
38999,0,2,ok,71.56992586536443,4.1997110564261675,6.384322189347346e-09,0.2,0.08,0.01946713964330694,0.19629749655723572,0.009640156620251477,0.012840782974382237,1
40430,0,3,ok,67.75437648792301,2.1908996049314737,0.006068969020449247,0.1,0.36,0.03746120237393267,0.15593580901622772,0.8591148883331156,0.878352500107771,2
40460,0,3,ok,65.11436155037127,2.163994073867798,4.641607584344208e-05,0.1,0.16,0.024841167788824725,0.09047505259513855,0.3452990501326503,0.34240178803839627,1
40531,0,3,ok,66.18008184421649,2.188760394230485,0.0001376137858064374,0.1,0.16,0.02384875367457587,0.0912948027253151,0.3320627610412257,0.3290091315812566,2
40584,0,3,ok,69.85251674910099,2.159481607377529,0.0020544029327704424,0.1,0.36,0.03886091723106457,0.15653273463249207,0.20848477043080454,0.2277667193582536,1
41147,0,3,ok,74.52520550088994,2.190116072073579,1.0641250281622547e-06,0.1,0.36,0.03489098552617952,0.11459414660930634,0.03456937092968033,0.03573798856083381,1
41356,0,3,ok,72.90579075197412,2.160470724105835,2.0794087552404554e-07,0.1,0.16,0.027182958504996555,0.09543496370315552,0.01740624927621957,0.0180924913550368,1
43049,0,3,ok,68.47663644549928,2.188442511484027,0.0037199341635551168,0.3,0.25,0.0318939885594645,0.25889062881469727,0.30734301380759205,0.30689323132769797,1
43620,0,3,ok,62.82348417532344,2.2175017576664686,0.004349137136688441,0.4,0.08,0.019565124707135572,0.37732386589050293,0.7872391653991383,0.794330095246947,2
44310,0,3,ok,68.44844682958004,2.2312500085681677,2.2722709904989216e-07,0.4,0.08,0.02138871714771946,0.3664304316043854,0.026655058538402752,0.02910750348551247,1
44879,0,3,no_surface,36.49852763904073,1.7242006473243237,0.0003146043947781751,0.5,nan,nan,nan,nan,nan,0
45082,0,3,ok,65.26883836522775,2.231645032763481,0.0002917528012839223,0.5,0.08,0.018871091312315576,0.43634483218193054,0.23653555483727312,0.23563822424836725,2
48314,0,3,ok,63.88828213829619,2.2334923669695854,1.0904361702087977e-06,0.8,0.04,0.01605546336088527,0.657398521900177,0.03812550031854903,0.04288878318672556,1
48645,0,3,ok,62.418000687914734,2.155501874163747,1.3476712906553877e-05,0.8,0.04,0.016250086497046935,0.6716105937957764,0.09229545084519346,0.09509174009880977,1
