trajectory_id,nfp,nc,initial_total,initial_volume_qs,initial_coil,initial_length_mean_m,initial_effective_radius_m,initial_curvature_p95_per_m,initial_curvature_max_per_m,initial_min_intercoil_distance_m,initial_min_z_axis_distance_m,initial_quality_length,initial_quality_curvature_p95,initial_quality_curvature_max,initial_quality_spacing,initial_quality_axis_distance,initial_quality_high_mode,initial_quality_current,initial_points_length,initial_points_curvature_p95,initial_points_curvature_max,initial_points_spacing,initial_points_axis_distance,initial_points_high_mode,initial_points_current,initial_points_curvature,initial_points_distance,initial_points_other,initial_points_total,best_total,best_volume_qs,best_coil,best_length_mean_m,best_effective_radius_m,best_curvature_p95_per_m,best_curvature_max_per_m,best_min_intercoil_distance_m,best_min_z_axis_distance_m,best_quality_length,best_quality_curvature_p95,best_quality_curvature_max,best_quality_spacing,best_quality_axis_distance,best_quality_high_mode,best_quality_current,best_points_length,best_points_curvature_p95,best_points_curvature_max,best_points_spacing,best_points_axis_distance,best_points_high_mode,best_points_current,best_points_curvature,best_points_distance,best_points_other,best_points_total,delta_total,delta_volume_qs,delta_coil,delta_length_mean_m,delta_effective_radius_m,delta_curvature_p95_per_m,delta_curvature_max_per_m,delta_min_intercoil_distance_m,delta_min_z_axis_distance_m,delta_quality_length,delta_quality_curvature_p95,delta_quality_curvature_max,delta_quality_spacing,delta_quality_axis_distance,delta_quality_high_mode,delta_quality_current,delta_points_length,delta_points_curvature_p95,delta_points_curvature_max,delta_points_spacing,delta_points_axis_distance,delta_points_high_mode,delta_points_current,delta_points_curvature,delta_points_distance,delta_points_other,delta_points_total
axisflip_case_0000004,8,1,7.081282127184123,5.032427071193142,72.11734127961603,1.585812998107828,0.25238997746823927,7.42657537249366,8.608550016912586,0.0426896556493951,0.8223161555278552,0.8888193958331895,0.5955064278508998,0.8433159862111026,0.3338380085767974,0.8450861064728863,0.9995740808822403,0.8648648648648649,14.221110333331032,11.910128557017996,10.119791834533231,6.676760171535948,10.141033277674635,12.994463051469124,6.054054054054055,22.02992039155123,16.817793449210583,33.26962743885421,72.11734127961603,64.54180576363876,26.438331466275127,73.57073321225755,1.938978166034487,0.3085979596716464,7.201935774304813,8.265565154103703,0.0630485656721811,0.6946709447234004,0.857813684522412,0.6050867747514962,0.8496552826184901,0.43488848198157437,0.816699612537941,0.9996843330235623,0.8648648648648649,13.725018952358592,12.101735495029924,10.19586339142188,8.697769639631488,9.800395350455291,12.99589632930631,6.054054054054055,22.297598886451805,18.498164990086778,32.77496933571896,73.57073321225754,57.46052363645464,21.405904395081983,1.453391932641523,0.353165167926659,0.056207982203407114,-0.2246395981888467,-0.3429848628088834,0.020358910022786003,-0.1276452108044548,-0.03100571131077745,0.009580346900596393,0.006339296407387507,0.10105047340477696,-0.0283864939349453,0.00011025214132198702,0.0,-0.4960913809724392,0.19160693801192785,0.07607155688864964,2.0210094680955404,-0.34063792721934405,0.0014332778371866084,0.0,0.2676784949005757,1.6803715408761946,-0.4946581031352508,1.4533919326415088
axisflip_case_0000010,7,2,25.212721884948692,21.95101931818441,70.24748813113682,1.5676645479644682,0.24950156191846676,8.18902371484192,9.697786887900056,0.03350742049763146,0.7123077690974057,0.8904018576018796,0.5645693111683995,0.8234851386070438,0.27742197509582484,0.821160709363821,0.9999425369709545,0.9180327897070679,14.246429721630074,11.29138622336799,9.881821663284525,5.548439501916497,9.853928512365853,12.999252980622408,6.426229527949476,21.173207886652513,15.402368014282349,33.671912230201954,70.24748813113682,77.76678909647954,54.79932247945203,71.09733291879512,1.850732791807066,0.2945532721583582,6.057101932624824,7.60095418299718,0.02808255921625691,0.6194302200439538,0.8655834093669136,0.6574069035195368,0.862057985634343,0.24020321567418246,0.7952031699355421,0.9998390370788407,0.9158220908837945,13.849334549870617,13.148138070390736,10.344695827612115,4.804064313483649,9.542438039226505,12.99790748202493,6.410754636186563,23.49283389800285,14.346502352710154,33.25799666808211,71.09733291879512,52.55406721153085,32.84830316126762,0.8498447876582986,0.28306824384259777,0.045051710239891435,-2.1319217822170957,-2.0968327049028765,-0.005424861281374548,-0.09287754905345191,-0.02481844823496604,0.09283759235113731,0.03857284702729924,-0.03721875942164238,-0.025957539428278942,-0.00010349989211377864,-0.002210698823273405,-0.39709517175945663,1.8567518470227462,0.4628741643275909,-0.7443751884328478,-0.3114904731393473,-0.0013454985974785671,-0.0154748917629135,2.319626011350337,-1.055865661572195,-0.4139155621198469,0.8498447876582986
axisflip_case_0000011,8,2,31.28242113309612,17.529112104228876,69.98185924018789,1.19491573980712,0.1901767465686122,9.142476445092106,9.668934047613291,0.03051217378444759,0.8116197763797736,0.9223682652661397,0.5291045458539655,0.8240042715482372,0.25725385211259144,0.8430180488218754,0.9999828899206731,0.927536231884058,14.757892244258235,10.58209091707931,9.888051258578846,5.145077042251829,10.116216585862505,12.99977756896875,6.492753623188407,20.470142175658154,15.261293628114334,34.25042343641539,69.98185924018789,74.734511624834,52.79258894783858,69.17913407616128,1.624268193761967,0.25851031194416146,9.95740048119378,14.039918487127423,0.044613996705887705,0.6374798805200401,0.8854610862905539,0.5013874381201846,0.7495346880556183,0.34470943636564716,0.8007592456015417,0.9998053732782084,0.9269745927561629,14.167377380648862,10.027748762403693,8.994416256667419,6.894188727312943,9.6091109472185,12.997469852616709,6.488822149293141,19.02216501907111,16.503299674531444,33.65366938255871,69.17913407616126,43.45209049173788,35.26347684360971,-0.8027251640266115,0.429352453954847,0.06833356537554927,0.8149240361016741,4.370984439514132,0.014101822921440115,-0.17413989585973344,-0.03690717897558582,-0.027717107733780888,-0.0744695834926189,0.08745558425305572,-0.04225880322033371,-0.00017751664246468124,-0.0005616391278950861,-0.5905148636093731,-0.5543421546756164,-0.8936350019114272,1.7491116850611137,-0.5071056386440045,-0.002307716352040856,-0.003931473895265825,-1.4479771565870436,1.24200604641711,-0.596754053856678,-0.8027251640266257
axisflip_case_0000014,4,3,2.3913122249732512,7.17931012447241,74.51449465349758,1.4798139831416748,0.2355197102735042,8.130532702395028,10.591619170945037,0.08077227030798097,0.6712456561556561,0.8980360835063553,0.5668587440683369,0.807576951506016,0.5026419231534066,0.810456845643955,0.9999904423615373,0.905660379494482,14.368577336101685,11.337174881366739,9.690923418072192,10.052838463068133,9.72548214772746,12.999875750699985,6.3396226564613745,21.02809829943893,19.778320610795593,33.708075743263045,74.51449465349756,12.09261738961974,17.688847480517733,73.58245837846181,1.580666253029337,0.25157084754816356,8.405456052393056,9.685529751284626,0.07399926000387082,0.595063647080421,0.8892683359383744,0.5562151454140938,0.8237056322309054,0.47857096096771207,0.7872488462209917,0.9999581417054921,0.9039333274596499,14.22829337501399,11.124302908281877,9.884467586770866,9.571419219354242,9.4469861546519,12.999455842171397,6.3275332922175505,21.008770495052744,19.018405374006143,33.555282509402936,73.58245837846182,9.701305164646488,10.509537356045323,-0.9320362750357702,0.10085226988766216,0.016051137274659344,0.27492334999802814,-0.906089419660411,-0.00677301030411015,-0.07618200907523509,-0.008767747567980932,-0.010643598654243136,0.016128680724889377,-0.024070962185694544,-0.023207999422963366,-3.230065604520327e-05,-0.0017270520348320328,-0.14028396108769492,-0.21287197308486228,0.19354416869867386,-0.48141924371389067,-0.27849599307556083,-0.00041990852858830863,-0.012089364243824008,-0.019327804386186642,-0.7599152367894497,-0.152793233860109,-0.9320362750357418
axisflip_case_0000016,6,3,7.132665535288184,8.539566158342874,66.24729898756631,1.1103586711472684,0.17671907111803603,15.221931621860541,23.576445388080014,0.047475323110813934,0.7260315012081735,0.9294136999812503,0.36674699421487655,0.6163584190294515,0.3603147671002884,0.8244990081998749,0.999976991897648,0.9350649343059537,14.870619199700005,7.3349398842975315,7.3963010283534185,7.2062953420057685,9.893988098398498,12.999700894669424,6.545454540141677,14.73124091265095,17.10028344040427,34.41577463451111,66.24729898756632,79.32446459479563,62.67767042064508,73.20683090998064,1.598804534825689,0.25445764475524674,8.494566862399122,12.409809467918008,0.07568350403472147,0.5879654563651998,0.887685600595594,0.5528285463715076,0.7762999659081092,0.484751467204675,0.7848270072175136,0.9997886739063016,0.9316406558054398,14.202969609529504,11.056570927430151,9.31559959089731,9.6950293440935,9.417924086610164,12.99725276078192,6.521484590638079,20.37217051832746,19.112953430703662,33.721706960949504,73.20683090998062,72.19179905950745,54.13810426230221,6.959531922414328,0.4884458636784206,0.0777385736372107,-6.72736475946142,-11.166635920162006,0.02820818092390754,-0.1380660448429737,-0.04172809938565636,0.18608155215663102,0.1599415468786577,0.12443670010438657,-0.03967200098236123,-0.00018831799134644278,-0.0034242785005139664,-0.6676495901705017,3.7216310431326196,1.9192985625438919,2.4887340020877318,-0.4760640117883348,-0.00244813388750309,-0.023969949503597654,5.6409296056765115,2.0126699902993934,-0.6940676735616051,6.9595319224143
axisflip_case_0000017,7,3,61.847069479558094,26.079022395259948,63.10847490792828,1.3125439245992105,0.20889785362520033,11.040192245633982,14.211087455146972,0.003907091126830615,0.7236512683265081,0.9124177949351585,0.4678831383460958,0.7467948931102114,0.034852473909981335,0.8239280780911755,0.9999739008149527,0.943820225547595,14.598684718962536,9.357662766921916,8.961538717322536,0.6970494781996267,9.887136937094105,12.999660710594386,6.606741578833166,18.319201484244452,10.584186415293733,34.20508700839009,63.10847490792827,78.65174060906409,57.82452780122879,68.7261730084063,1.5974008566464655,0.2542342424345131,8.822687875938351,11.422772377305199,0.028650432984993895,0.6712855071665724,0.8878081407707348,0.5406193054157606,0.7930956045253075,0.24424528484246716,0.8104677891026365,0.9997047701127534,0.9407183165584088,14.204930252331756,10.812386108315213,9.51714725430369,4.884905696849343,9.725613469231638,12.996162011465794,6.585028215908862,20.329533362618903,14.61051916608098,33.78612047970641,68.72617300840629,16.804671129505998,31.745505405968842,5.617698100478023,0.28485693204725493,0.04533638880931276,-2.2175043696956305,-2.788315077841773,0.02474334185816328,-0.05236576115993563,-0.024609654164423733,0.07273616706966485,0.04630071141509606,0.20939281093248582,-0.013460288988539015,-0.00026913070219936053,-0.003101908989186275,-0.39375446663077973,1.4547233413932972,0.5556085369811541,4.187856218649717,-0.16152346786246774,-0.003498699128591909,-0.021713362924304036,2.0103318783744513,4.0263327507872475,-0.4189665286836757,5.617698100478023
axisflip_case_0000018,8,3,52.08279295450676,34.53820660121124,62.07695786788317,1.5713534110997365,0.2500886627208342,9.822331570039779,19.46757235331158,0.0030465782755080707,0.6090141143512573,0.8900803404945035,0.5058258709494329,0.6690557645886671,0.026731735290398937,0.7918691001493207,0.9999966606348419,0.9504950471522401,14.241285447912055,10.116517418988657,8.028669175064005,0.5346347058079788,9.502429201791848,12.999956588252946,6.653465330065681,18.14518659405266,10.037063907599826,33.89470736623068,62.07695786788317,81.82583733832878,66.97866845952791,66.2580235271784,1.600472093694182,0.25472304499206416,9.15771730080036,17.745932234454624,0.022241510762134764,0.6370576943098776,0.8875400118565854,0.528565010007915,0.6931803489589982,0.19653819465963843,0.8006323791984273,0.9998462158180816,0.9473665286568272,14.200640189705366,10.5713002001583,8.318164187507978,3.9307638931927684,9.607588550381127,12.998000805635062,6.6315657005977915,18.88946438766628,13.538352443573896,33.830206695938216,66.2580235271784,29.743044383822024,32.44046185831667,4.181065659295221,0.02911868259444561,0.004634382271229975,-0.6646142692394186,-1.721640118856957,0.019194932486626695,0.02804357995862028,-0.002540328637918088,0.022739139058482127,0.024124584370331048,0.1698064593692395,0.008763279049106676,-0.00015044481676029786,-0.0031285184954128464,-0.040645258206689405,0.45478278116964255,0.28949501244397347,3.3961291873847896,0.10515934858927878,-0.0019557826178839832,-0.021899629467889703,0.7442777936136196,3.5012885359740693,-0.06450067029246753,4.181065659295221
axisflip_case_0000021,4,4,3.778445982971144,12.340356610928941,70.52583315154793,1.4919309704114485,0.2374481886928703,7.747493734603441,14.316953243819377,0.042580691678491066,0.5913930235571315,0.8969859193995491,0.582192512014947,0.7451070833577959,0.3332130944729873,0.7860025828902962,0.9999905148639194,0.927536231884058,14.351774710392785,11.64385024029894,8.94128500029355,6.6642618894597465,9.432030994683554,12.999876693230952,6.492753623188407,20.585135240592493,16.096292884143303,33.84440502681215,70.52583315154794,78.78056021528228,61.8255325228178,72.7839978204443,1.9992996562462446,0.318198423013517,6.657765668284948,10.396117403323853,0.06613445991818638,0.40696203433527345,0.8525016911193786,0.6292128685522792,0.811027242751554,0.4478477820519699,0.7010877571071342,0.9997274429970876,0.9229887133118385,13.640027057910057,12.584257371045585,9.732326913018648,8.956955641039398,8.413053085285611,12.99645675896214,6.460920993182871,22.316584284064234,17.37000872632501,33.09740481005507,72.78399782044431,75.00211423231113,49.48517591188886,2.25816466889637,0.5073686858347961,0.08075023432064668,-1.089728066318493,-3.920835840495524,0.023553768239695315,-0.18443098922185808,-0.04448422828017051,0.047020356537332164,0.06592015939375817,0.1146346875789826,-0.084914825783162,-0.00026307186683183215,-0.004547518572219467,-0.7117476524827282,0.9404071307466442,0.7910419127250972,2.2926937515796517,-1.0189779093979432,-0.0034199342688125967,-0.03183263000553627,1.7314490434717413,1.2737158421817085,-0.7470002167570797,2.25816466889637
axisflip_case_0000022,5,4,34.84456104674652,23.65152938088473,70.67162449915202,1.5317419278509297,0.24378429935858478,9.461099638094238,12.994122967220157,0.05394094432902382,0.5751937578533557,0.8935290210971933,0.5179960776950876,0.766565936378303,0.39327882654859336,0.7803432018125025,0.9998859326396916,0.9411764705882353,14.296464337555093,10.359921553901753,9.198791236539636,7.865576530971867,9.36411842175003,12.998517124315992,6.588235294117648,19.55871279044139,17.229694952721896,33.883216755988734,70.67162449915202,78.80194760593324,64.78752906184138,70.54476399956036,1.7907814772724482,0.2850117241053168,8.279287042538112,11.629187834219332,0.047360687197953555,0.5334102327445681,0.8708574269453488,0.5610628524053272,0.7895468179374844,0.3597020540290777,0.764438241286285,0.9997994000483668,0.9357905897760974,13.933718831125582,11.221257048106544,9.474561815249812,7.194041080581553,9.17325889543542,12.997392200628768,6.550534128432683,20.695818863356358,16.367299976016973,33.48164516018703,70.54476399956036,43.957386559186716,41.13599968095666,-0.12686049959165757,0.2590395494215185,0.041227424746731994,-1.181812595556126,-1.3649351330008255,-0.006580257131070265,-0.04178352510878758,-0.0226715941518445,0.043066774710239564,0.022980881559181432,-0.033576772519515685,-0.015904960526217482,-8.653259132485047e-05,-0.0053858808121378665,-0.362745506429512,0.8613354942047913,0.2757705787101763,-0.6715354503903139,-0.19085952631460934,-0.0011249236872235002,-0.03770116568496462,1.1371060729149676,-0.8623949767049233,-0.4015715958017054,-0.12686049959165757
axisflip_case_0000023,6,4,64.58514543669116,42.48180169359248,67.41766550360641,1.4997602965039754,0.23869426464157428,8.874565350924593,13.290701385901514,0.020367445709668315,0.7199638189165924,0.8963068532273931,0.5387258973812474,0.7616850619405018,0.18169618691492923,0.8230369745508541,0.9998603383140493,0.9504950471522401,14.34090965163829,10.774517947624949,9.140220743286022,3.6339237382985843,9.876443694610249,12.99818439808264,6.653465330065681,19.914738690910973,13.510367432908833,33.99255937978661,67.41766550360641,80.32747301555956,64.24643718350576,71.29180633972864,1.6685056581808002,0.26555092307627065,7.421151764284809,14.110900142237172,0.04623687477313087,0.6352739429627039,0.881590053986288,0.5957351774561574,0.7483968994931689,0.353640749262826,0.8000947629243249,0.9997199609035853,0.9457982144016894,14.105440863780608,11.91470354912315,8.980762793918027,7.07281498525652,9.601137155091898,12.996359491746608,6.620587500811827,20.89546634304118,16.67395214034842,33.72238785633905,71.29180633972864,15.742327578868398,21.76463548991328,3.8741408361222227,0.16874536167682486,0.026856658434696368,-1.4534135866397841,0.8201987563356585,0.025869429063462554,-0.08468987595388855,-0.014716799241105138,0.05700928007491002,-0.013288162447332885,0.1719445623478968,-0.022942211626529208,-0.00014037741046402097,-0.004696832750550661,-0.23546878785768222,1.1401856014982013,-0.1594579493679955,3.438891246957936,-0.2753065395183505,-0.0018249063360329387,-0.032877829253854074,0.9807276521302057,3.163584707439586,-0.2701715234475657,3.8741408361222227
