abs_iota,best_iteration,case_id,component_axis,component_coil,component_coordinate,component_iota,component_psi,component_surface,component_volume_qs,inverse_aspect_ratio,n_base_coils,nfp,online_best_iteration,online_best_score,qa_error,qh_error,qp_error,score,score_wall_s,source,source_id,status,surface_level
1.2818608498798088,,p107_37034_0_000001:0,91.79148315712202,62.54686635111162,74.91574279401311,57.792616285289355,97.00315694167826,55.63145910860895,41.30020184882118,0.022268275041053387,3,5,,,0.22437722089767156,0.04153880255690204,0.01563724121095799,35.366503046988946,,random_screen,,ok,0.09599755820760986
1.564596682391831,,p107_37034_0_000001:1,91.29123946460813,64.17778927063392,59.378241475983174,100.0,92.89882555065677,41.61155427502813,48.56028150400373,0.01756009659251892,3,5,,,0.21797712443067274,0.04096174403165716,0.015032474572017937,59.757775868378936,,random_screen,,ok,0.0762481562362915
1.2576974029770063,,p107_37034_0_000001:2,93.05786190594574,66.417037562276,85.23014356350352,100.0,99.16394439261754,75.40564819126962,58.50134521023885,0.029453517384131246,3,5,,,0.23312543954093448,0.03635332563069014,0.02840604960050503,75.16968779861604,,random_screen,,ok,0.293730907973977
1.2319155547007437,,p107_37034_0_000001:3,94.91863570086795,63.99709999527511,85.8965117685477,100.0,98.97359495006836,83.42519153247461,47.107582301963134,0.03377935225708309,3,5,,,0.3514578287502994,0.06070626697108411,0.03439544956879201,71.22634596164238,,random_screen,,ok,0.4192803017241402
nan,,p107_37034_0_000001:4,0.0,64.81083485901817,8.0,4.0,0.0,0.0,4.0,nan,3,5,,,nan,nan,nan,0.10968218832661177,,random_screen,,no_axis,nan
1.7013599636848071,,p107_37034_0_000001:5,96.40501938954861,56.674799735621185,65.62087509206263,100.0,87.83790465810351,67.41334750287898,65.98665626575996,0.026282376199853394,3,5,,,0.16443725375288812,0.024226412883177464,0.022096630528475415,73.97609427472825,,random_screen,,ok,0.1960895075426398
1.1762912883158942,,p107_37034_0_000001:6,97.15500505755887,59.55457037828145,90.36491358127606,100.0,98.89515903089425,95.80681253391437,45.63481032220802,0.039076267666290875,3,5,,,0.3961614469861377,0.06460250999869387,0.04599104289681953,72.15317498595424,,random_screen,,ok,0.635045781180587
nan,,p107_37034_0_000001:7,0.0,57.385139920455465,8.0,4.0,0.0,0.0,4.0,nan,3,5,,,nan,nan,nan,0.10160303223345556,,random_screen,,no_axis,nan
1.0729009405906917,,p107_37034_0_000001:8,98.70223920787924,62.74228129713,85.97187345050294,97.80106541079036,98.26316930253452,78.1615222842965,46.02501651436001,0.033173057413997134,3,5,,,0.35399721517074434,0.06206785037409738,0.032793347097287526,68.84980036147512,,random_screen,,ok,0.3374367274532492
1.2606861390930457,,p107_37034_0_000001:9,97.64507002043345,59.77825741210043,89.50667912967667,100.0,99.29417970066218,80.24960217258177,56.69616306905709,0.033156982884213565,3,5,,,0.26694183134819494,0.039410483984103364,0.035624343942174855,75.26420218430742,,random_screen,,ok,0.370193885351921
