best_global_score,best_global_status,best_iteration,best_online_score,final_online_score,initial_online_score,n_base_coils,nfp,optimization_wall_s,screening_wall_s,selected_global_score,trajectory_id,trajectory_wall_s
93.52121030165958,ok,197,93.52688847974323,93.50622349379589,81.184290088714,3,5,1267.3807511366904,129.97322966903448,81.17126532151318,p107_37034_0_000001,1397.355113081634
85.69935862349425,ok,49,85.6995381982369,81.68939255674213,76.4337652069489,3,5,1222.0589928515255,114.34879981912673,76.42113555440538,p107_37034_0_000002,1336.4087287355214
89.81622023097633,ok,200,89.79403046254806,89.79403046254806,70.99194805738728,2,4,867.6345058493316,82.50172779522836,71.00600839051793,p107_37034_0_000003,950.1376295294613
83.35383790038253,ok,110,83.39187138963959,83.00946599326754,67.5274453563468,2,6,1142.1827295087278,121.36157951876521,67.54802179788777,p107_37034_0_000004,1263.5458091851324
90.92957959192735,ok,191,90.92788952973662,90.90774588646717,79.95344987197198,2,5,997.1464576162398,102.108299408108,79.84714461279785,p107_37034_0_000005,1099.255681982264
89.69273497695649,ok,196,89.68610206850141,88.65896540867512,64.54362290010386,2,5,1015.0621107593179,90.7481362875551,64.53598109862452,p107_37034_0_000006,1105.8115470707417
82.10465268961111,ok,34,82.09316314994305,81.34191613320526,71.36932974036797,2,6,1034.6390495114028,133.69752209447324,71.35019560784161,p107_37034_0_000007,1168.337640704587
87.80960472502179,ok,23,87.8400229208638,81.96226909422259,73.50678014809192,2,5,909.183258427307,87.04710392653942,73.49662781114637,p107_37034_0_000008,996.2316903378814
90.1392800317544,ok,197,90.19679921178012,90.19492246223699,75.14465296945089,2,5,993.6449736505747,100.02302656881511,75.1387312255834,p107_37034_0_000009,1093.6688085775822
92.17765780070427,ok,187,92.19105102444469,92.06019727516268,83.7019911308586,2,5,1006.028278997168,92.35695762559772,83.7111773642164,p107_37034_0_000010,1098.3860084991902
