pair,case_id,reference_score,candidate_score,score_delta,reference_axis_R,reference_axis_Z,reference_axis_residual,reference_axis_topology_trace,reference_axis_topology_det,reference_axis_ellipse_aspect,reference_psi_angle_p95,reference_psi_angle_l2,reference_surface_effective_level,reference_surface_drift_relative_p95,reference_alpha_normal_B_relative_l2,reference_iota_min,reference_qs_target_global_error_per_helicity,candidate_axis_R,candidate_axis_Z,candidate_axis_residual,candidate_axis_topology_trace,candidate_axis_topology_det,candidate_axis_ellipse_aspect,candidate_psi_angle_p95,candidate_psi_angle_l2,candidate_surface_effective_level,candidate_surface_drift_relative_p95,candidate_alpha_normal_B_relative_l2,candidate_iota_min,candidate_qs_target_global_error_per_helicity
Exact hint,1117971,87.1485367400505,87.15470591639081,0.006169176340307558,0.8365405977844214,1.0605106605777101e-09,6.678231899352741e-09,-1.7154194031822865,0.9999991282157445,3.206498941241948,4.629899980607004e-05,1.033797805449777e-05,0.19981423977843904,0.04651244363958987,2.525006333350183e-05,1.612310528755188,0.004191132269881087,0.8365405977844214,1.0605106605777101e-09,4.2196774994488815e-09,-1.7154289909496296,1.0000073726023133,3.206519910902926,4.629899980607004e-05,1.033797805449777e-05,0.19981423977843904,0.04651244363958987,2.5250063333501838e-05,1.612310528755188,0.00419113226988108
Exact hint,1188492,67.02908189254677,67.03692352774569,0.007841635198914787,1.1952007382394754,-2.154828737281738e-08,1.610014284478014e-08,-0.27621332848084745,0.9999953010779258,6.153360251997541,6.240581294590966e-05,1.0338565925129435e-05,0.06494863090417077,0.016788252850312917,3.892396241463206e-05,0.9543293714523315,0.01667203813913565,1.1952007382394754,-2.154828737281738e-08,1.196756603937062e-08,-0.2762006436413681,0.9999876180523587,6.1534099132687174,6.240581294590966e-05,1.0338565925129435e-05,0.06494863090417077,0.016788252850312917,3.8923962414632045e-05,0.9543293714523315,0.016672038139135585
Exact hint,1328106,89.34419951749771,89.35077886336252,0.006579345864807351,0.8191581716636991,2.180651279377687e-10,6.504529238718588e-09,-0.9009629443451823,0.9999999348990699,2.2522965144050815,0.00011179875610541934,3.3679071208617555e-05,0.23446628813058476,0.043697222191171406,5.5497487145323796e-05,1.2192219495773315,0.001137199454308352,0.8191581716636991,2.180651279377687e-10,3.907808209957884e-09,-0.9009544466857464,0.9999801497176312,2.2523088803636613,0.00011179875610541934,3.3679071208617555e-05,0.23446628813058476,0.043697222191171406,5.549748714532378e-05,1.2192219495773315,0.0011371994543083559
Exact hint,1410262,88.87969965475628,88.87951365955578,-0.0001859952004963361,1.3786836294125837,1.331141633096676e-09,4.326547574859513e-09,-1.8894060503167607,1.000000740609781,1.2628568565611293,6.22891614794615e-05,9.039635390145884e-06,0.1718227776146416,0.03663172175907423,3.504797895142251e-05,1.6285444498062134,0.0006419527382399135,1.3786836294125837,1.331141633096676e-09,4.39852701275739e-09,-1.889405667475507,0.9999996859397138,1.262852676827668,6.22891614794615e-05,9.039635390145884e-06,0.1718227776146416,0.03663172175907423,3.50479789514225e-05,1.6285444498062134,0.0006419527382399164
Exact hint,1410481,81.35303158186105,81.34891417609629,-0.004117405764759496,1.2494262223547945,-6.152898482818166e-09,7.167398071234375e-08,-1.7887802237162869,1.0000012521067028,1.5440443160282968,0.00019831732393909315,4.3114623469535264e-05,0.07602997508862355,0.005576983435666511,0.00011262006486051639,1.6052186489105225,0.003025742589360971,1.2494262223547945,-6.152898482818166e-09,7.45246892793678e-08,-1.788778080326042,0.9999982431855214,1.544065345876982,0.00019831732393909315,4.3114623469535264e-05,0.07602997508862355,0.005576983435666511,0.00011262006486051639,1.6052186489105225,0.003025742589360973
Exact hint,1413822,81.99919178499945,81.99869504308039,-0.0004967419190649025,1.2297890937828366,-8.376479383200444e-10,3.740956571007946e-09,-1.9750130645526485,0.9999986416273826,1.4079347805539009,0.00012678509958214486,2.141876870201999e-05,0.08610697716661403,0.026049350518250143,6.0332117127677956e-05,1.479024887084961,0.003766987535771659,1.2297890937828366,-8.376479383200444e-10,3.943846928320751e-09,-1.9750143860945149,0.9999997265894727,1.4078470571547812,0.00012678509958214486,2.141876870201999e-05,0.08610697716661403,0.026049350518250143,6.0332117127677977e-05,1.479024887084961,0.00376698753577166
Exact hint,1551144,68.66151163730623,68.65383105389564,-0.0076805834105897475,0.7830899037069707,-7.618816384576044e-10,2.282334211117762e-09,-1.3388286637362223,0.9999993704911212,3.6518306578884494,4.668538116955908e-05,6.608227526402764e-06,0.06890904499295568,0.025057329391040387,3.630489345260535e-05,0.9185236096382141,0.0006138108738517722,0.7830899037069707,-7.618816384576044e-10,5.597487570787648e-09,-1.338838816411184,1.0000099781274825,3.6518276385275166,4.668538116955908e-05,6.608227526402764e-06,0.06890904499295568,0.025057329391040387,3.630489345260535e-05,0.9185236096382141,0.0006138108738517735
Exact hint,1566917,78.72818981686981,78.71362282171587,-0.014566995153941775,1.1303640791873362,-1.7309347682564508e-08,1.0905409053809423e-08,-1.2602290667159695,0.999983976507592,9.456356205277103,8.827301820977703e-05,1.2792703149077135e-05,0.02753889161206076,0.05093571621770349,6.323448738823753e-05,1.091160535812378,0.0013768054514104156,1.1303640791873362,-1.7309347682564508e-08,1.7997114956983782e-08,-1.260217281526896,0.9999962484977769,9.456185352358485,8.827301820977703e-05,1.2792703149077135e-05,0.02753889161206076,0.05093571621770349,6.323448738823753e-05,1.091160535812378,0.0013768054514104128
Exact hint,1571207,92.24377211569322,92.2404401803068,-0.0033319353864129653,0.8552462977159475,3.3222849537713337e-10,1.7588017091840725e-09,0.16490582161853773,1.0000002761798583,1.5867206157961649,1.86029211228403e-05,5.5141036586793295e-06,0.3151103985879571,0.001030944834008416,1.1200846088670774e-05,1.165291428565979,0.0013725910963900143,0.8552462977159475,3.3222849537713337e-10,2.8744889328909773e-09,0.16489933067714038,1.000003761224576,1.586720254977445,1.86029211228403e-05,5.5141036586793295e-06,0.3151103985879571,0.001030944834008416,1.1200846088670772e-05,1.165291428565979,0.001372591096390023
Exact hint,1626606,84.70540886264624,84.7277018125781,0.0222929499318667,1.4540923176118412,-9.747414419049573e-10,1.4744588478026359e-08,-1.8509663113449646,1.0000033550665006,1.437244572143798,0.0004398292960848056,0.00011070005913942846,0.23960698515869014,0.04175444742374355,0.00010952412021561346,1.285912036895752,0.007089785321314878,1.4540923176118412,-9.747414419049573e-10,4.82814519556948e-09,-1.8509623304753369,1.000004034172862,1.4372288072782953,0.0004398292960848056,0.00011070005913942846,0.23960698515869014,0.04175444742374355,0.00010952412021561343,1.285912036895752,0.007089785321314896
Exact hint,1633910,85.12623216370018,85.099349396066,-0.026882767634177185,1.2840322883684068,3.0836855975158595e-09,4.085551611998067e-09,-0.29498887152481656,0.9999973131985201,4.448872906499931,0.0001121821581955115,3.40134562198255e-05,0.12590645985809204,0.010307958170047342,5.4177274942849514e-05,1.0281846523284912,0.00221308270770926,1.2840322883684068,3.0836855975158595e-09,1.6060159802812302e-08,-0.29499293144679667,1.0000014723709476,4.448864292582281,0.0001121821581955115,3.40134562198255e-05,0.12590645985809204,0.010307958170047342,5.4177274942849514e-05,1.0281846523284912,0.00221308270770927
Exact hint,1636749,77.18735649629211,77.16451896043543,-0.022837535856680802,0.7647694995080201,-2.6788972240139472e-09,1.561950733377135e-08,-1.9159165842291097,1.000003629630227,1.6800733716676726,0.00011363376786216795,3.719796376992628e-05,0.3340292237175321,0.03797166652456428,5.3764794409401226e-05,2.167121410369873,0.028927096318256046,0.7647694995080201,-2.6788972240139472e-09,2.771217121220905e-08,-1.9159120320732157,0.9999985285700417,1.6800806995800237,0.00011363376786216795,3.719796376992628e-05,0.3340292237175321,0.03797166652456428,5.3764794409401226e-05,2.167121410369873,0.028927096318255997
Exact hint,1645833,74.09431394482004,74.09525255562846,0.0009386108084186162,0.8808695269617853,4.860481602616352e-11,9.371503648167084e-10,-0.8757394076026312,0.9999994758314419,2.6335494061369396,0.00010389820145808189,1.2268852488971925e-05,0.218951772688122,0.10441693655096612,6.983059697060239e-05,1.4450082778930664,0.03219772472592989,0.8808695269617853,4.860481602616352e-11,6.83057530832372e-10,-0.8757434962747161,1.0000077409595076,2.6335360334829447,0.00010389820145808189,1.2268852488971925e-05,0.218951772688122,0.10441693655096612,6.983059697060243e-05,1.4450082778930664,0.03219772472592987
Exact hint,1673278,79.91405832808266,79.92047097389992,0.006412645817263751,0.8392276246853938,-1.0607395188160098e-09,1.9542745049614863e-09,-0.29700019484948237,1.0000001278493307,1.7472030563820664,4.899819608281593e-05,8.112765915600365e-06,0.10185931629351454,0.016256491134795416,3.331939208290283e-05,0.9910935759544373,0.0075207911876994556,0.8392276246853938,-1.0607395188160098e-09,1.615080172558964e-10,-0.2969944959212939,1.0000088179259528,1.7471956588366644,4.899819608281593e-05,8.112765915600365e-06,0.10185931629351454,0.016256491134795416,3.331939208290283e-05,0.9910935759544373,0.007520791187699449
Exact hint,1673401,80.34153179473587,80.35222974356796,0.010697948832088855,0.8512080814579438,-3.6750085200882227e-11,8.605784994718005e-09,-0.6352940066743266,0.9999999339976,2.113228102434772,5.2513803508327647e-05,7.927395619031406e-06,0.10699871529571264,0.03918818330909933,3.6174096976281914e-05,1.0683729648590088,0.009526871463979163,0.8512080814579438,-3.6750085200882227e-11,4.213002989225953e-09,-0.6352971253158534,1.0000021904760679,2.1132274472787995,5.2513803508327647e-05,7.927395619031406e-06,0.10699871529571264,0.03918818330909933,3.6174096976281914e-05,1.0683729648590088,0.0095268714639792
