nfp,n_base_coils,count,ok_rate,score_median,score_max,coil_median,coil_p10,coil_p90
2,2,231,0.017316017316017316,0.1298639660386219,0.5214406520095612,83.21187103335531,81.97338205999542,84.14863158086582
2,3,231,0.004329004329004329,0.12812522969601384,0.40976121869675125,81.70507371387563,80.48194487350595,82.66496671906702
2,4,231,0.008658008658008658,0.126795450633805,0.3553750555764777,80.44844783015016,79.15238354852706,81.57395762820198
3,2,231,0.2077922077922078,0.12861621564347153,1.4716043985631113,81.54329269365154,78.91515358395111,82.78123529517036
3,3,231,0.09956709956709957,0.1259558283455595,5.549881404466265,79.05276792373397,75.68749941585672,80.8117667391094
3,4,230,0.10434782608695652,0.12415464107490022,6.418015753148526,77.4765935121772,73.00124026318399,79.19382352658626
4,1,231,0.6406926406926406,1.2477914549047782,4.380178090581774,82.9428497467624,80.15226076670963,84.35923645245906
4,2,231,0.3203463203463203,0.12737472887279697,7.6700788888454134,78.73702436330701,71.62165442761325,80.8462074607069
4,3,231,0.21212121212121213,0.12310358422847921,9.383406701942743,74.05821021911217,68.81333768492894,77.54769892379774
4,4,230,0.19130434782608696,0.12160220428325283,9.577375445709572,71.3749334457263,68.54873681780178,75.633023973175
5,1,231,0.6536796536796536,1.7113830069100593,5.261161472545695,80.73257413481785,73.53616189315866,82.9506748656423
5,2,231,0.341991341991342,0.291074450829829,8.564465897917481,71.89753575457509,68.77268201306468,77.22178296388404
5,3,231,0.19480519480519481,0.2613563337908869,11.705321931029417,70.05538251767275,68.58340447868288,74.31640016343086
5,4,230,0.12608695652173912,0.11871303037996361,9.678723924533116,69.47024971935022,68.18728149320633,72.03016902939339
6,1,231,0.8138528138528138,2.455534898228128,8.183221168729023,76.40834260874693,70.13784129609097,80.92269724821703
6,2,231,0.4155844155844156,0.3504402229746288,12.234984920830277,70.76549421835716,68.65655476916535,74.33827307780338
6,3,231,0.2943722943722944,0.2792580737218186,12.8472579230177,69.54349169939975,68.1874787340769,72.01997735867013
6,4,230,0.30434782608695654,0.27226392201755656,14.509014298522265,69.08299847123556,68.08234907510005,70.2930390620568
7,1,231,0.8398268398268398,3.3268575702986922,8.592014907790297,74.10318152322837,69.79805135775219,78.689443394332
7,2,231,0.5974025974025974,1.8591535779995982,16.439267071040167,70.09566606837836,68.32068979993024,72.79763509537793
7,3,231,0.4329004329004329,0.34003696921650983,15.578467347441206,69.15073411491402,68.10123265696394,70.41277200446001
7,4,230,0.391304347826087,0.3370954063519426,11.726729179149892,68.81554270052598,67.79755226029138,69.76634380238198
8,1,231,0.7792207792207793,4.208931897883506,12.934268381705538,72.51072681600972,69.26407751355733,76.9069570329059
8,2,231,0.6147186147186147,2.2165680039979283,15.547891136122914,69.89581538543341,68.25164645418886,72.98990763557471
8,3,231,0.6017316017316018,2.587313432648462,13.235591981656349,69.2039580100743,68.11367054583495,70.09937258028519
8,4,230,0.5391304347826087,2.060099828958383,14.959734882432514,68.79301058268953,67.84865455991377,69.60800777858718
