step,component,full_g4_cosine,full_on_adam,g4_on_adam,full_gradient_rms,g4_projected_rms
50,axis,nan,73.36295857305595,0.0,8.572156899439479,0.0
50,psi,0.08485074218031893,5.423269563843487,-10.7661589548307,0.35295607145163715,0.39853783307031115
50,surface,-0.6265181091401096,46.34194350564316,-6.712587207633698,22.071989409849188,0.6742086996299722
50,coordinate,-0.5244512637878965,-12.19516209094262,-31.272965837395144,2.5263752358639597,1.70910774777124
50,volume_qs,-0.746672747062798,59.03217852394034,-7.098601861407636,2.910132128367783,1.036342563139292
50,iota,nan,0.0,0.0,0.0,0.0
50,coil,0.9999999999999999,-74.63828297014732,-7.961416850149043,2.5877791638953918,0.27602977748217505
89,axis,nan,-176.72047906123794,0.0,5.406137764717244,0.0
89,psi,0.13109339654996027,-4.358499352255706,-0.3104877967054782,0.19716373823746974,0.22420007074220183
89,surface,0.09692793270301259,58.8913382077656,4.550448292893125,2.270882109040428,0.2911236818061691
89,coordinate,-0.4985291037014726,-31.398701165752595,-1.2439994682148212,2.6022894264687393,0.9508610757698319
89,volume_qs,0.07434651477461968,-2.696515053546241,-4.536942799209911,1.092576901571358,0.6303805035328722
89,iota,nan,0.0,0.0,0.0,0.0
89,coil,1.0,5.827298092945362,0.6215784632475048,2.0828924832238527,0.22217519821054432
100,axis,nan,-377.0154607683138,0.0,18.235513542969773,0.0
100,psi,0.14858944433297008,-5.3425654651623296,-0.35954568475223664,0.13972293148057918,0.2048127189702674
100,surface,0.16582845767790838,104.39218537783613,2.676300534090245,1.658085840306376,0.269540426873147
100,coordinate,-0.03853077988312492,-72.32593417208761,-20.513852197640134,2.5202807506336096,1.125264702011212
100,volume_qs,0.14995723666793886,-40.83950923140812,-17.162504715485444,1.1437620853534551,0.6611218363793053
100,iota,nan,0.0,0.0,0.0,0.0
100,coil,0.9999999999999999,38.10731102976154,4.064779843174562,2.3957932753408455,0.2555512827030235
120,axis,nan,83.72681631670292,0.0,6.266739256173287,0.0
120,psi,0.45817539391428797,-2.574504795401931,0.26105439969928723,0.1879982587412297,0.2653856011911345
120,surface,0.8762196824048696,26.983083541800298,4.576706268469228,1.0994719729327886,0.16826496368618307
120,coordinate,-0.04369982073608201,-75.38386577568156,-12.071655125575498,2.3290583761643213,0.9541634811119402
120,volume_qs,0.42959402523767043,-39.60090394157965,-4.9532890371096565,1.9135920987565782,0.42779473634380727
120,iota,nan,0.0,0.0,0.0,0.0
120,coil,0.9999999999999999,24.860880769447988,2.5197413766094634,2.3379330513879815,0.24375606706476335
