step,random_direction_count,total_directions,informed_mean,informed_std,informed_p05,informed_median,informed_p95,pure_mean,pure_std,pure_p05,pure_median,pure_p95
50,0,1,0.23782792112942183,8.326672684688674e-17,0.23782792112942175,0.23782792112942175,0.23782792112942175,0.04600687596102433,0.034931816799197074,0.0035595776726725066,0.03830279822920365,0.111989555014282
50,1,2,0.24404484808244128,0.008424920273303212,0.23785218229813526,0.24065930339069078,0.2612422020644332,0.07266924301844477,0.038515917820269516,0.019192965438651587,0.06734610226760468,0.14503144641279025
50,2,3,0.25065456044729206,0.01213900998596425,0.23848034556432135,0.24711708674185806,0.27463396510827626,0.09136033950162858,0.037525000347949304,0.034529225686657415,0.0882420230393052,0.15726418884333876
50,4,5,0.26240905237816053,0.016318062393427958,0.24258127334347862,0.25909649086306585,0.2938797483297506,0.1229385888483192,0.03944122516862616,0.06289055188398023,0.12081875203797227,0.1943398434780937
50,8,9,0.28564736538877833,0.02171329159995151,0.255060439231888,0.2827881015009022,0.32575076961664384,0.16889454222068134,0.040610067236682805,0.10468040564653597,0.16735068637230474,0.2382599587519627
50,16,17,0.3260020533462417,0.026100989121055983,0.28592186534411934,0.3240777424845808,0.3716927088949633,0.23547353078824776,0.04004680163103876,0.17018672066510995,0.23429815027138032,0.3009744296009224
89,0,1,0.2230872930405842,5.551115123125783e-17,0.22308729304058414,0.22308729304058414,0.22308729304058414,0.046946635007657556,0.03415308881164334,0.004173952676594074,0.0412336289265213,0.11307152325036667
89,1,2,0.23003211011464533,0.009215891367007964,0.2231222689297244,0.22658189704835596,0.2494731857788988,0.07211590725414234,0.03902126535636026,0.016790244047834465,0.06764583191720888,0.14287359604939462
89,2,3,0.2360173303918425,0.012225776675477827,0.22380011451395218,0.23243109270735118,0.2612187266160934,0.09180003088676962,0.03872410591394223,0.03282724017334434,0.0880098337346818,0.16056156869979682
89,4,5,0.24920900007370322,0.01697113777431355,0.22826605236768946,0.24622551821918776,0.28190984752410786,0.12157833268985309,0.03835513637415219,0.06345145718674952,0.11959123747975427,0.18922879272632792
89,8,9,0.2733300905227669,0.021490554353196894,0.24293799527126725,0.27104196328560093,0.31197470005366446,0.16905607679099496,0.04076197065479279,0.1036925055255468,0.1672758890142375,0.23819392345123042
89,16,17,0.3153368222702673,0.026304789937776393,0.2747871349637265,0.3142462900475753,0.36218134646048383,0.23654681512556555,0.03987695544147091,0.1714707746556222,0.23499714971576563,0.3043870483379141
100,0,1,0.23401969350385973,8.326672684688674e-17,0.23401969350385982,0.23401969350385982,0.23401969350385982,0.045470711272590544,0.03338738829153204,0.0035865150928955647,0.03862128407541708,0.11115469372538234
100,1,2,0.24031609681827534,0.008786924426061082,0.23403922601097552,0.2368691889050707,0.2590616744937627,0.0729287937695045,0.036902680392021874,0.018478642895274677,0.06984392871626838,0.1402352409371213
100,2,3,0.24656916483438085,0.011995198819054911,0.2346360798129875,0.24264007362513812,0.2713642882916123,0.09279612043089662,0.03971412934784472,0.03456884118548289,0.08911626678431045,0.16584130501034086
100,4,5,0.2589616754358392,0.016514548232342264,0.23884224129899082,0.25540423263547596,0.29130687996037186,0.12240689455104908,0.03879513886181082,0.06331510791412231,0.120068286158441,0.1871325553274425
100,8,9,0.28270777257229984,0.021499917480956223,0.25250724874962416,0.2802542511856373,0.32216974602135506,0.16873557607992634,0.03843072685442352,0.1067504102985562,0.167731301908108,0.23568046190838177
100,16,17,0.3231564496656214,0.02642260125528362,0.2838073385835265,0.32112471909478973,0.37080457678062245,0.23497276615988494,0.03875703219555166,0.17143547012556667,0.23530331049341321,0.30094136709845387
120,0,1,0.013474603273982113,0.0,0.013474603273982113,0.013474603273982113,0.013474603273982113,0.045612332312924254,0.034685589057125536,0.0034238606719349026,0.03839525617534271,0.11505778246252692
120,1,2,0.05058176988180412,0.034085549394177,0.013973137505990399,0.04180775539296186,0.1196956708156212,0.07191764231635801,0.0364348861347786,0.019447878236867423,0.06743434549050223,0.13784892247908187
120,2,3,0.07475339453748647,0.037771803765985386,0.022720488597452935,0.06944082496016099,0.14292186254449912,0.09181511374901144,0.03868601443222565,0.03485172496751998,0.08916933354832733,0.16182227005327218
120,4,5,0.1120749776509817,0.03885059065764376,0.05387865875758685,0.10887185308243202,0.1803413070686924,0.12316743007270357,0.03966745058295713,0.06241000279014245,0.12064125910294603,0.19316251285415112
120,8,9,0.16086894990276676,0.03944329306316694,0.09830996601413035,0.1595389485538516,0.22947177395561466,0.16843391042371178,0.03952153293854043,0.10598813709455075,0.16573529843745044,0.2360605056099316
120,16,17,0.22835451958401673,0.04026218890888545,0.16168659762437124,0.22722533288117433,0.2951175841144959,0.23360453483975188,0.03845936507032467,0.17077607124909447,0.23280525965730942,0.29807502632871197
