trajectory_id,nfp,n_base_coils,data_status,flow_valid_candidates,data_valid_candidates,flow_initial,data_initial,flow_best,data_best,flow_gain,data_gain,flow_minus_data_initial,flow_minus_data_best,data_case_wall_s
p107_37034_0_000002,5,3,no_valid_start,27,0,76.4337652069489,0.0,85.6995381982369,0.0,9.265772991287989,0.0,76.4337652069489,85.6995381982369,159.70738584548235
p107_37034_0_000005,5,2,optimization_ok,26,3,79.95344987197198,2.92782655018264,90.92788952973662,3.166219725869909,10.974439657764634,0.23839317568726903,77.02562332178934,87.76166980386671,1510.3681911565363
p107_37034_0_000020,5,2,optimization_ok,18,1,77.06548219417529,0.3475111072570114,89.03931101214945,3.3221488071978165,11.973828817974166,2.9746376999408053,76.71797108691828,85.71716220495163,1215.91259528324
p107_37034_0_000038,3,4,no_valid_start,15,0,74.76052284431378,0.0,90.8155026075867,0.0,16.05497976327291,0.0,74.76052284431378,90.8155026075867,136.51070412248373
p107_37034_0_000045,3,3,optimization_ok,21,1,77.03682143062046,0.9527941855629091,88.8113251565575,2.194407130380585,11.774503725937038,1.241612944817676,76.08402724505756,86.61691802617692,1281.218786045909
p107_37034_1_000001,5,4,optimization_ok,22,2,77.80039167024891,2.268757919737282,90.90192512598746,4.971344183678974,13.101533455738547,2.7025862639416918,75.53163375051163,85.93058094230848,1286.9858455210924
p107_37034_1_000006,2,5,no_valid_start,10,0,24.09478983633535,0.0,57.617349068250704,0.0,33.52255923191535,0.0,24.09478983633535,57.617349068250704,114.05108077451587
p107_37034_1_000008,4,3,optimization_ok,21,2,85.50102880547604,7.13942463950749,92.73061672994224,70.79274374679187,7.229587924466202,63.65331910728438,78.36160416596854,21.93787298315037,955.5586389787495
p107_37034_1_000011,3,4,no_valid_start,13,0,78.27114246396796,0.0,85.95530579606312,0.0,7.684163332095153,0.0,78.27114246396796,85.95530579606312,147.77176324650645
p107_37034_1_000014,2,5,no_valid_start,5,0,13.614839960716882,0.0,14.678499875005702,0.0,1.0636599142888201,0.0,13.614839960716882,14.678499875005702,158.72274767234921
p107_37034_1_000019,4,4,optimization_ok,26,1,85.87107259188483,0.7723200715025779,91.81772804325468,2.8643369749987637,5.94665545136985,2.092016903496186,85.09875252038225,88.95339106825591,1781.5675058364868
p107_37034_1_000023,3,4,no_valid_start,20,0,73.51256793755658,0.0,82.53446078096803,0.0,9.02189284341145,0.0,73.51256793755658,82.53446078096803,138.93953170254827
p107_37034_1_000026,6,3,no_valid_start,7,0,75.12386061187198,0.0,88.86585092257272,0.0,13.741990310700743,0.0,75.12386061187198,88.86585092257272,180.2284317202866
p107_37034_1_000032,3,2,no_valid_start,16,0,70.11813595276128,0.0,89.37338546964706,0.0,19.255249516885783,0.0,70.11813595276128,89.37338546964706,87.16705645620823
p107_37034_2_000005,2,3,no_valid_start,8,0,19.03086186758823,0.0,40.93893416492061,0.0,21.90807229733238,0.0,19.03086186758823,40.93893416492061,98.49267177283764
p107_37034_2_000006,5,2,optimization_ok,19,1,77.70156603293685,7.286052242955139,91.61951014928007,68.34296209747359,13.917944116343222,61.05690985451845,70.41551378998172,23.276548051806486,939.47471498698
p107_37034_2_000017,4,3,optimization_ok,23,1,77.61244392296865,0.9025385029334366,91.43676804331479,1.0098235651630092,13.824324120346134,0.10728506222957257,76.70990542003521,90.42694447815178,1733.8875848539174
p107_37034_2_000021,4,2,optimization_ok,24,1,79.79630870919985,4.389902856986922,93.02469593321563,4.535495105002865,13.228387224015776,0.1455922480159435,75.40640585221293,88.48920082821276,1291.1015860922635
p107_37034_2_000027,4,5,no_valid_start,24,0,78.26372406228849,0.0,90.96314549971817,0.0,12.699421437429677,0.0,78.26372406228849,90.96314549971817,212.2329115793109
p107_37034_2_000028,5,3,optimization_ok,27,1,79.84249317304095,0.5634643147238905,91.64301189816369,0.5677368318641166,11.800518725122743,0.00427251714022614,79.27902885831706,91.07527506629958,1900.9802631177008
p107_37034_2_000031,3,2,optimization_ok,17,1,66.32674466544242,1.0944954298521148,90.66965630780246,1.393354563598584,24.342911642360036,0.2988591337464692,65.2322492355903,89.27630174420388,1052.7557539828122
p107_37034_2_000035,5,4,optimization_ok,30,2,80.74970631131109,5.7322952065530135,92.39649977104581,15.562702245985703,11.646793459734724,9.83040703943269,75.01741110475807,76.8337975250601,1215.5879705063999
p107_37034_2_000040,5,3,optimization_ok,22,2,79.43939354532122,1.824400467349658,92.9161834441674,5.660449726954629,13.476789898846178,3.8360492596049705,77.61499307797156,87.25573371721278,1014.0177455693483
p107_37034_3_000010,5,2,optimization_ok,24,4,79.68348179382296,6.704120710231711,92.44845476810251,15.557001035125419,12.764972974279544,8.852880324893707,72.97936108359126,76.89145373297708,787.5133700631559
p107_37034_3_000016,3,4,optimization_ok,14,1,74.38015835651828,1.2025527502016446,87.09037962765376,1.2897101749519657,12.710221271135481,0.08715742475032107,73.17760560631663,85.8006694527018,1520.8375934921205
p107_37034_3_000018,4,3,no_valid_start,24,0,81.42640106671415,0.0,93.36935861996831,0.0,11.94295755325416,0.0,81.42640106671415,93.36935861996831,135.17173670604825
p107_37034_3_000020,5,2,no_valid_start,19,0,76.75616557693291,0.0,92.76280697638562,0.0,16.006641399452704,0.0,76.75616557693291,92.76280697638562,147.17203680425882
p107_37034_3_000021,5,4,no_valid_start,27,0,79.01876028646828,0.0,88.9693897570211,0.0,9.950629470552826,0.0,79.01876028646828,88.9693897570211,208.485780864954
p107_37034_3_000035,3,5,no_valid_start,15,0,73.00856466397894,0.0,83.87616211460436,0.0,10.86759745062541,0.0,73.00856466397894,83.87616211460436,196.54181133583188
p107_37034_3_000039,4,3,no_valid_start,25,0,80.2449412578665,0.0,91.958413000193,0.0,11.713471742326504,0.0,80.2449412578665,91.958413000193,160.8201359771192
p107_37034_3_000040,3,5,no_valid_start,14,0,73.40743842571715,0.0,90.68396793188455,0.0,17.276529506167407,0.0,73.40743842571715,90.68396793188455,167.88395119458437
p107_37034_3_000041,5,2,optimization_ok,25,2,76.51882457017115,2.4520354110885214,89.96407022901201,6.6628194407040455,13.44524565884086,4.210784029615525,74.06678915908263,83.30125078830797,1128.509065233171
p107_37034_3_000048,2,5,no_valid_start,7,0,31.47580506425951,0.0,44.811909290787305,0.0,13.336104226527794,0.0,31.47580506425951,44.811909290787305,127.76371224224567
student_37035_0_000011,4,2,optimization_ok,20,1,79.93588133568953,1.202374572403172,92.13532285135857,24.22561382533523,12.199441515669037,23.023239252932058,78.73350676328636,67.90970902602334,637.5496404506266
student_37035_0_000013,4,3,optimization_ok,23,1,80.33968419547202,0.4980821309620672,93.07364678619564,0.9407960136735315,12.733962590723621,0.4427138827114643,79.84160206450996,92.1328507725221,1551.2735459320247
student_37035_0_000019,3,3,no_valid_start,13,0,76.35141809414047,0.0,88.615580921557,0.0,12.264162827416527,0.0,76.35141809414047,88.615580921557,136.20042101293802
student_37035_0_000020,4,5,no_valid_start,25,0,77.85539663209059,0.0,92.12292397311114,0.0,14.267527341020553,0.0,77.85539663209059,92.12292397311114,215.87884467467666
student_37035_0_000023,3,3,optimization_ok,20,1,74.49381931777913,0.9344414702237545,86.54596828597504,1.0601543339703596,12.052148968195908,0.12571286374660517,73.55937784755537,85.48581395200468,1650.8097620084882
student_37035_0_000024,5,2,no_valid_start,23,0,78.08051002654291,0.0,91.20807755089217,0.0,13.12756752434926,0.0,78.08051002654291,91.20807755089217,126.45103767514229
student_37035_0_000032,3,3,no_valid_start,20,0,74.6150828437253,0.0,91.42609698039247,0.0,16.81101413666717,0.0,74.6150828437253,91.42609698039247,145.14300459250808
student_37035_0_000035,4,2,optimization_ok,15,5,81.9012146287875,2.350351112275963,84.8157385424048,7.609129252847347,2.914523913617302,5.258778140571383,79.55086351651154,77.20660928955745,700.3941076733172
student_37035_0_000041,5,2,no_valid_start,23,0,80.21803032603384,0.0,92.83083568234784,0.0,12.612805356313999,0.0,80.21803032603384,92.83083568234784,140.574223395437
student_37035_0_000042,5,3,optimization_ok,25,1,74.66113238178522,3.443015816188073,91.69414671015184,3.53287575258287,17.03301432836662,0.08985993639479695,71.21811656559714,88.16127095756897,1807.9000585228205
student_37035_0_000045,4,2,optimization_ok,19,2,78.53888027727967,2.6869624540518133,89.95516638907317,2.811317323278843,11.416286111793497,0.12435486922702976,75.85191782322786,87.14384906579433,1337.4805697575212
student_37035_1_000009,6,2,optimization_ok,18,2,70.3828248260085,1.2521202947496748,83.93353670327411,12.66084102382185,13.550711877265613,11.408720729072176,69.13070453125883,71.27269567945227,822.9665989987552
student_37035_1_000016,3,3,no_valid_start,15,0,50.89479686093026,0.0,50.89479686093026,0.0,0.0,0.0,50.89479686093026,50.89479686093026,127.83854293823242
student_37035_1_000026,5,3,optimization_ok,23,1,75.64406327180278,2.3935364688009426,90.65050269459066,5.1866987874972255,15.006439422787878,2.793162318696283,73.25052680300183,85.46380390709344,1632.271478254348
student_37035_1_000049,5,3,optimization_ok,23,3,77.94385012270875,5.600481185427841,89.91888101910146,15.238718917422618,11.97503089639271,9.638237731994778,72.34336893728091,74.68016210167885,963.8832952268422
